route_id,date,origin,destination,distance_km,avg_fare,currency,pax_boarded,load_factor,revenue,refunds_issued,is_govt_capped,cap_fare_limit,season_tag,cap_applied_flag
SXR-CCU,2025-11-01,SXR,CCU,1180,10222.35,INR,116,0.62,1185792.6,0,0,,NORMAL,False
DEL-GOI,2025-11-01,DEL,GOI,516,6496.5,INR,101,0.54,656146.5,0,0,,NORMAL,False
IXC-AMD,2025-11-01,IXC,AMD,1074,9203.92,INR,131,0.7,1205713.52,0,0,,NORMAL,False
GOI-COK,2025-11-01,GOI,COK,1246,10215.26,INR,107,0.58,1093032.82,0,0,,NORMAL,False
BHO-IXB,2025-11-01,BHO,IXB,1768,11445.04,INR,171,0.92,1957101.84,0,0,,NORMAL,False
DEL-HYD,2025-11-01,DEL,HYD,1362,10721.15,INR,168,0.9,1801153.2,0,0,,NORMAL,False
IXB-ATQ,2025-11-01,IXB,ATQ,1518,11318.19,INR,151,0.81,1709046.69,0,0,,NORMAL,False
CCU-GOI,2025-11-01,CCU,GOI,2020,13334.34,INR,101,0.54,1346768.34,0,0,,NORMAL,False
BHO-PNQ,2025-11-01,BHO,PNQ,2228,14496.52,INR,136,0.73,1971526.72,0,0,,NORMAL,False
IXB-BHO,2025-11-01,IXB,BHO,385,5729.84,INR,97,0.52,555794.48,0,0,,NORMAL,False
IXC-IXB,2025-11-01,IXC,IXB,2159,14584.31,INR,186,1.0,2712681.66,0,0,,NORMAL,False
BHO-COK,2025-11-01,BHO,COK,2651,17903.7,INR,173,0.93,3097340.1,0,0,,NORMAL,False
COK-AMD,2025-11-01,COK,AMD,1472,11111.4,INR,96,0.52,1066694.4,0,0,,NORMAL,False
LKO-SXR,2025-11-01,LKO,SXR,328,5140.55,INR,106,0.57,544898.3,0,0,,NORMAL,False
ATQ-DEL,2025-11-01,ATQ,DEL,2472,13813.13,INR,83,0.45,1146489.79,0,0,,NORMAL,False
DEL-CCU,2025-11-01,DEL,CCU,2471,14895.77,INR,127,0.68,1891762.79,0,0,,NORMAL,False
JAI-BHO,2025-11-01,JAI,BHO,680,5962.93,INR,112,0.6,667848.16,0,0,,NORMAL,False
BLR-JAI,2025-11-01,BLR,JAI,1167,9543.31,INR,186,1.0,1775055.66,0,0,,NORMAL,False
GAU-BLR,2025-11-01,GAU,BLR,1318,9094.13,INR,135,0.73,1227707.55,0,0,,NORMAL,False
COK-BHO,2025-11-01,COK,BHO,510,5757.87,INR,107,0.58,616092.09,0,0,,NORMAL,False
LKO-IXB,2025-11-01,LKO,IXB,560,6915.61,INR,131,0.7,905944.91,0,0,,NORMAL,False
BOM-BHO,2025-11-01,BOM,BHO,2588,15553.81,INR,91,0.49,1415396.71,0,0,,NORMAL,False
IXC-BHO,2025-11-01,IXC,BHO,2697,18949.95,INR,85,0.46,1610745.75,0,0,,NORMAL,False
IXC-GOI,2025-11-01,IXC,GOI,2105,12283.35,INR,105,0.56,1289751.75,0,0,,NORMAL,False
BOM-GOI,2025-11-01,BOM,GOI,2191,15476.36,INR,91,0.49,1408348.76,0,0,,NORMAL,False
HYD-VNS,2025-11-01,HYD,VNS,1872,14226.26,INR,111,0.6,1579114.86,0,0,,NORMAL,False
HYD-SXR,2025-11-01,HYD,SXR,2660,19247.53,INR,115,0.62,2213465.95,0,0,,NORMAL,False
BOM-DEL,2025-11-01,BOM,DEL,1019,9338.13,INR,103,0.55,961827.39,0,0,,NORMAL,False
DEL-PNQ,2025-11-01,DEL,PNQ,2136,15984.93,INR,186,1.0,2973196.98,0,0,,NORMAL,False
GOI-AMD,2025-11-01,GOI,AMD,1784,13071.73,INR,118,0.63,1542464.14,0,0,,NORMAL,False
IXC-PNQ,2025-11-01,IXC,PNQ,349,5941.16,INR,136,0.73,807997.76,0,0,,NORMAL,False
LKO-DEL,2025-11-01,LKO,DEL,1492,10287.57,INR,164,0.88,1687161.48,0,0,,NORMAL,False
HYD-PNQ,2025-11-01,HYD,PNQ,733,6943.38,INR,145,0.78,1006790.1,0,0,,NORMAL,False
ATQ-SXR,2025-11-01,ATQ,SXR,2551,15176.33,INR,91,0.49,1381046.03,0,0,,NORMAL,False
BOM-MAA,2025-11-01,BOM,MAA,2632,17324.1,INR,135,0.73,2338753.5,0,0,,NORMAL,False
PNQ-VNS,2025-11-01,PNQ,VNS,2470,15370.81,INR,84,0.45,1291148.04,0,0,,NORMAL,False
BLR-IXB,2025-11-01,BLR,IXB,811,7776.32,INR,177,0.95,1376408.64,0,0,,NORMAL,False
PNQ-DEL,2025-11-01,PNQ,DEL,1746,13320.27,INR,87,0.47,1158863.49,0,0,,NORMAL,False
COK-IXB,2025-11-01,COK,IXB,1464,10990.14,INR,183,0.98,2011195.62,0,0,,NORMAL,False
PNQ-IXC,2025-11-01,PNQ,IXC,1069,9655.39,INR,119,0.64,1148991.41,0,0,,NORMAL,False
IXB-GAU,2025-11-01,IXB,GAU,504,6790.23,INR,136,0.73,923471.28,0,0,,NORMAL,False
VNS-IXB,2025-11-01,VNS,IXB,668,6377.06,INR,153,0.82,975690.18,0,0,,NORMAL,False
SXR-HYD,2025-11-01,SXR,HYD,958,7497.41,INR,117,0.63,877196.97,0,0,,NORMAL,False
GOI-IXB,2025-11-01,GOI,IXB,1070,7688.86,INR,167,0.9,1284039.62,0,0,,NORMAL,False
DEL-ATQ,2025-11-01,DEL,ATQ,901,7390.98,INR,175,0.94,1293421.5,0,0,,NORMAL,False
BLR-CCU,2025-11-01,BLR,CCU,1900,11573.46,INR,125,0.67,1446682.5,0,0,,NORMAL,False
JAI-GOI,2025-11-01,JAI,GOI,2133,12575.83,INR,139,0.75,1748040.37,0,0,,NORMAL,False
PAT-VNS,2025-11-01,PAT,VNS,1710,12724.8,INR,114,0.61,1450627.2,0,0,,NORMAL,False
GOI-BHO,2025-11-01,GOI,BHO,2776,16676.67,INR,120,0.65,2001200.4,0,0,,NORMAL,False
GAU-AMD,2025-11-01,GAU,AMD,921,7632.6,INR,85,0.46,648771.0,0,0,,NORMAL,False
MAA-PNQ,2025-11-01,MAA,PNQ,363,4791.76,INR,106,0.57,507926.56,0,0,,NORMAL,False
BLR-ATQ,2025-11-01,BLR,ATQ,2359,15303.57,INR,182,0.98,2785249.74,0,0,,NORMAL,False
JAI-IXB,2025-11-01,JAI,IXB,2598,16482.21,INR,143,0.77,2356956.03,0,0,,NORMAL,False
ATQ-HYD,2025-11-01,ATQ,HYD,2784,19625.0,INR,136,0.73,2669000.0,0,0,,NORMAL,False
HYD-PAT,2025-11-01,HYD,PAT,2148,15232.85,INR,178,0.96,2711447.3,0,0,,NORMAL,False
HYD-LKO,2025-11-01,HYD,LKO,2501,17486.94,INR,93,0.5,1626285.42,0,0,,NORMAL,False
PAT-IXC,2025-11-01,PAT,IXC,1777,12295.54,INR,118,0.63,1450873.72,0,0,,NORMAL,False
SXR-GAU,2025-11-01,SXR,GAU,2066,15738.54,INR,131,0.7,2061748.74,0,0,,NORMAL,False
GAU-PNQ,2025-11-01,GAU,PNQ,1586,10853.94,INR,153,0.82,1660652.82,0,0,,NORMAL,False
AMD-MAA,2025-11-01,AMD,MAA,1459,11189.21,INR,178,0.96,1991679.38,0,0,,NORMAL,False
ATQ-MAA,2025-11-01,ATQ,MAA,2119,15073.33,INR,136,0.73,2049972.88,0,0,,NORMAL,False
VNS-IXC,2025-11-01,VNS,IXC,689,6498.55,INR,100,0.54,649855.0,0,0,,NORMAL,False
IXB-VNS,2025-11-01,IXB,VNS,1180,9428.83,INR,130,0.7,1225747.9,0,0,,NORMAL,False
PNQ-IXB,2025-11-01,PNQ,IXB,1560,11795.15,INR,129,0.69,1521574.35,0,0,,NORMAL,False
PNQ-AMD,2025-11-01,PNQ,AMD,1613,10534.88,INR,182,0.98,1917348.16,0,0,,NORMAL,False
SXR-COK,2025-11-01,SXR,COK,1876,13776.64,INR,109,0.59,1501653.76,0,0,,NORMAL,False
BHO-DEL,2025-11-01,BHO,DEL,2257,16378.39,INR,101,0.54,1654217.39,0,0,,NORMAL,False
BHO-VNS,2025-11-01,BHO,VNS,2179,16271.56,INR,155,0.83,2522091.8,0,0,,NORMAL,False
BLR-LKO,2025-11-01,BLR,LKO,459,5797.8,INR,184,0.99,1066795.2,0,0,,NORMAL,False
ATQ-GAU,2025-11-01,ATQ,GAU,2638,18336.97,INR,80,0.43,1466957.6,0,0,,NORMAL,False
COK-GAU,2025-11-01,COK,GAU,2338,15793.87,INR,163,0.88,2574400.81,0,0,,NORMAL,False
PAT-HYD,2025-11-01,PAT,HYD,585,5733.11,INR,85,0.46,487314.35,0,0,,NORMAL,False
PNQ-HYD,2025-11-01,PNQ,HYD,2538,15487.2,INR,87,0.47,1347386.4,0,0,,NORMAL,False
HYD-GAU,2025-11-01,HYD,GAU,605,6086.59,INR,171,0.92,1040806.89,0,0,,NORMAL,False
MAA-SXR,2025-11-01,MAA,SXR,858,8042.13,INR,165,0.89,1326951.45,0,0,,NORMAL,False
GAU-ATQ,2025-11-01,GAU,ATQ,1585,10136.91,INR,104,0.56,1054238.64,0,0,,NORMAL,False
GOI-PNQ,2025-11-01,GOI,PNQ,2779,17446.84,INR,122,0.66,2128514.48,0,0,,NORMAL,False
GAU-PAT,2025-11-01,GAU,PAT,2710,14897.03,INR,94,0.51,1400320.82,0,0,,NORMAL,False
COK-SXR,2025-11-01,COK,SXR,883,7729.66,INR,147,0.79,1136260.02,0,0,,NORMAL,False
SXR-PNQ,2025-11-01,SXR,PNQ,1116,8575.79,INR,149,0.8,1277792.71,0,0,,NORMAL,False
MAA-ATQ,2025-11-01,MAA,ATQ,1279,9702.76,INR,142,0.76,1377791.92,0,0,,NORMAL,False
MAA-JAI,2025-11-01,MAA,JAI,1121,9635.5,INR,173,0.93,1666941.5,0,0,,NORMAL,False
JAI-HYD,2025-11-01,JAI,HYD,2724,18348.12,INR,117,0.63,2146730.04,0,0,,NORMAL,False
PAT-SXR,2025-11-01,PAT,SXR,1590,10093.89,INR,106,0.57,1069952.34,0,0,,NORMAL,False
GAU-SXR,2025-11-01,GAU,SXR,1546,9948.41,INR,91,0.49,905305.31,0,0,,NORMAL,False
BHO-MAA,2025-11-01,BHO,MAA,2337,12948.54,INR,114,0.61,1476133.56,0,0,,NORMAL,False
PNQ-MAA,2025-11-01,PNQ,MAA,2614,17470.59,INR,144,0.77,2515764.96,0,0,,NORMAL,False
CCU-BLR,2025-11-01,CCU,BLR,2726,17496.07,INR,141,0.76,2466945.87,0,0,,NORMAL,False
MAA-CCU,2025-11-01,MAA,CCU,1708,10745.72,INR,121,0.65,1300232.12,0,0,,NORMAL,False
IXB-PNQ,2025-11-01,IXB,PNQ,483,5043.29,INR,179,0.96,902748.91,0,0,,NORMAL,False
PAT-GOI,2025-11-01,PAT,GOI,489,5166.27,INR,146,0.78,754275.42,0,0,,NORMAL,False
VNS-GOI,2025-11-01,VNS,GOI,758,6885.13,INR,172,0.92,1184242.36,0,0,,NORMAL,False
DEL-BOM,2025-11-01,DEL,BOM,2319,16055.72,INR,102,0.55,1637683.44,0,0,,NORMAL,False
PNQ-JAI,2025-11-01,PNQ,JAI,1116,10219.86,INR,106,0.57,1083305.16,0,0,,NORMAL,False
ATQ-BLR,2025-11-01,ATQ,BLR,2591,16764.25,INR,159,0.85,2665515.75,0,0,,NORMAL,False
BHO-ATQ,2025-11-01,BHO,ATQ,1095,9214.45,INR,150,0.81,1382167.5,0,0,,NORMAL,False
PNQ-SXR,2025-11-01,PNQ,SXR,1476,10280.45,INR,135,0.73,1387860.75,0,0,,NORMAL,False
LKO-PNQ,2025-11-01,LKO,PNQ,1839,13730.89,INR,94,0.51,1290703.66,0,0,,NORMAL,False
CCU-DEL,2025-11-01,CCU,DEL,1245,8355.46,INR,161,0.87,1345229.06,0,0,,NORMAL,False
GAU-IXB,2025-11-01,GAU,IXB,2468,16260.16,INR,181,0.97,2943088.96,0,0,,NORMAL,False
MAA-IXB,2025-11-01,MAA,IXB,1984,13499.63,INR,181,0.97,2443433.03,0,0,,NORMAL,False
PNQ-BOM,2025-11-01,PNQ,BOM,2756,19508.55,INR,138,0.74,2692179.9,0,0,,NORMAL,False
MAA-LKO,2025-11-01,MAA,LKO,2118,13070.89,INR,108,0.58,1411656.12,0,0,,NORMAL,False
BOM-VNS,2025-11-01,BOM,VNS,778,8254.2,INR,110,0.59,907962.0,0,0,,NORMAL,False
LKO-IXC,2025-11-01,LKO,IXC,2744,14853.97,INR,157,0.84,2332073.29,0,0,,NORMAL,False
GAU-LKO,2025-11-01,GAU,LKO,523,5478.33,INR,164,0.88,898446.12,0,0,,NORMAL,False
JAI-VNS,2025-11-01,JAI,VNS,2180,12614.4,INR,160,0.86,2018304.0,0,0,,NORMAL,False
PNQ-BHO,2025-11-01,PNQ,BHO,2148,14023.35,INR,108,0.58,1514521.8,0,0,,NORMAL,False
AMD-COK,2025-11-01,AMD,COK,872,7923.92,INR,184,0.99,1458001.28,0,0,,NORMAL,False
JAI-DEL,2025-11-01,JAI,DEL,1107,9835.55,INR,158,0.85,1554016.9,0,0,,NORMAL,False
LKO-AMD,2025-11-01,LKO,AMD,795,6466.05,INR,93,0.5,601342.65,0,0,,NORMAL,False
SXR-BHO,2025-11-01,SXR,BHO,2616,16976.4,INR,120,0.65,2037168.0,0,0,,NORMAL,False
HYD-ATQ,2025-11-01,HYD,ATQ,1354,9462.08,INR,140,0.75,1324691.2,0,0,,NORMAL,False
MAA-BLR,2025-11-01,MAA,BLR,1273,8602.71,INR,169,0.91,1453857.99,0,0,,NORMAL,False
CCU-BHO,2025-11-01,CCU,BHO,1728,11982.8,INR,126,0.68,1509832.8,0,0,,NORMAL,False
MAA-HYD,2025-11-01,MAA,HYD,2133,13374.48,INR,182,0.98,2434155.36,0,0,,NORMAL,False
SXR-PAT,2025-11-01,SXR,PAT,1472,10471.44,INR,135,0.73,1413644.4,0,0,,NORMAL,False
IXC-MAA,2025-11-01,IXC,MAA,823,8429.57,INR,130,0.7,1095844.1,0,0,,NORMAL,False
BHO-AMD,2025-11-01,BHO,AMD,2249,14062.26,INR,96,0.52,1349976.96,0,0,,NORMAL,False
VNS-LKO,2025-11-01,VNS,LKO,1418,11170.03,INR,179,0.96,1999435.37,0,0,,NORMAL,False
JAI-PAT,2025-11-01,JAI,PAT,1202,8523.73,INR,144,0.77,1227417.12,0,0,,NORMAL,False
ATQ-CCU,2025-11-01,ATQ,CCU,1910,12554.89,INR,171,0.92,2146886.19,0,0,,NORMAL,False
VNS-COK,2025-11-01,VNS,COK,629,7510.83,INR,164,0.88,1231776.12,0,0,,NORMAL,False
ATQ-LKO,2025-11-01,ATQ,LKO,2224,12636.57,INR,150,0.81,1895485.5,0,0,,NORMAL,False
SXR-JAI,2025-11-01,SXR,JAI,589,7337.83,INR,121,0.65,887877.43,0,0,,NORMAL,False
AMD-DEL,2025-11-01,AMD,DEL,830,6951.81,INR,133,0.72,924590.73,0,0,,NORMAL,False
ATQ-GOI,2025-11-01,ATQ,GOI,1858,11833.23,INR,138,0.74,1632985.74,0,0,,NORMAL,False
IXB-CCU,2025-11-01,IXB,CCU,1213,8768.86,INR,92,0.49,806735.12,0,0,,NORMAL,False
SXR-ATQ,2025-11-01,SXR,ATQ,2518,16535.16,INR,97,0.52,1603910.52,0,0,,NORMAL,False
BOM-BLR,2025-11-01,BOM,BLR,891,7569.83,INR,107,0.58,809971.81,0,0,,NORMAL,False
LKO-CCU,2025-11-01,LKO,CCU,1652,10859.44,INR,148,0.8,1607197.12,0,0,,NORMAL,False
CCU-BOM,2025-11-01,CCU,BOM,1561,9818.48,INR,143,0.77,1404042.64,0,0,,NORMAL,False
GOI-SXR,2025-11-01,GOI,SXR,2305,14633.27,INR,121,0.65,1770625.67,0,0,,NORMAL,False
VNS-PAT,2025-11-01,VNS,PAT,1358,11570.0,INR,105,0.56,1214850.0,0,0,,NORMAL,False
COK-IXC,2025-11-01,COK,IXC,908,7437.11,INR,181,0.97,1346116.91,0,0,,NORMAL,False
GAU-VNS,2025-11-01,GAU,VNS,1002,7579.68,INR,83,0.45,629113.44,0,0,,NORMAL,False
BLR-PNQ,2025-11-01,BLR,PNQ,1175,9965.24,INR,177,0.95,1763847.48,0,0,,NORMAL,False
AMD-BOM,2025-11-01,AMD,BOM,1689,11808.6,INR,118,0.63,1393414.8,0,0,,NORMAL,False
ATQ-BHO,2025-11-01,ATQ,BHO,330,5074.44,INR,181,0.97,918473.64,0,0,,NORMAL,False
AMD-IXC,2025-11-01,AMD,IXC,1562,12131.74,INR,117,0.63,1419413.58,0,0,,NORMAL,False
BLR-GAU,2025-11-01,BLR,GAU,1261,10717.79,INR,186,1.0,1993508.94,0,0,,NORMAL,False
GOI-DEL,2025-11-01,GOI,DEL,865,8160.53,INR,141,0.76,1150634.73,0,0,,NORMAL,False
IXC-ATQ,2025-11-01,IXC,ATQ,575,6798.53,INR,181,0.97,1230533.93,0,0,,NORMAL,False
BHO-CCU,2025-11-01,BHO,CCU,1200,10625.68,INR,174,0.94,1848868.32,0,0,,NORMAL,False
COK-GOI,2025-11-01,COK,GOI,1625,12925.07,INR,178,0.96,2300662.46,0,0,,NORMAL,False
BHO-GAU,2025-11-01,BHO,GAU,2063,12727.39,INR,177,0.95,2252748.03,0,0,,NORMAL,False
CCU-HYD,2025-11-01,CCU,HYD,1264,9993.86,INR,90,0.48,899447.4,0,0,,NORMAL,False
LKO-BLR,2025-11-01,LKO,BLR,2094,13067.89,INR,157,0.84,2051658.73,0,0,,NORMAL,False
SXR-GOI,2025-11-01,SXR,GOI,1241,9848.02,INR,92,0.49,906017.84,0,0,,NORMAL,False
DEL-MAA,2025-11-01,DEL,MAA,1127,9014.14,INR,145,0.78,1307050.3,0,0,,NORMAL,False
VNS-DEL,2025-11-01,VNS,DEL,1850,14639.15,INR,117,0.63,1712780.55,0,0,,NORMAL,False
BOM-COK,2025-11-01,BOM,COK,2651,18352.29,INR,118,0.63,2165570.22,0,0,,NORMAL,False
VNS-BHO,2025-11-01,VNS,BHO,1428,10216.07,INR,104,0.56,1062471.28,0,0,,NORMAL,False
GAU-DEL,2025-11-02,GAU,DEL,1318,10885.08,INR,129,0.69,1404175.32,0,0,,NORMAL,False
IXB-COK,2025-11-02,IXB,COK,1882,14076.21,INR,146,0.78,2055126.66,0,0,,NORMAL,False
BOM-LKO,2025-11-02,BOM,LKO,805,8584.16,INR,167,0.9,1433554.72,0,0,,NORMAL,False
SXR-DEL,2025-11-02,SXR,DEL,1607,12349.76,INR,168,0.9,2074759.68,0,0,,NORMAL,False
AMD-MAA,2025-11-02,AMD,MAA,1199,8596.03,INR,105,0.56,902583.15,0,0,,NORMAL,False
GAU-VNS,2025-11-02,GAU,VNS,2507,16038.42,INR,96,0.52,1539688.32,0,0,,NORMAL,False
VNS-ATQ,2025-11-02,VNS,ATQ,704,6638.81,INR,123,0.66,816573.63,0,0,,NORMAL,False
BHO-GAU,2025-11-02,BHO,GAU,1254,9349.76,INR,161,0.87,1505311.36,0,0,,NORMAL,False
GOI-BLR,2025-11-02,GOI,BLR,1901,11879.32,INR,166,0.89,1971967.12,0,0,,NORMAL,False
BOM-DEL,2025-11-02,BOM,DEL,2072,13509.2,INR,167,0.9,2256036.4,0,0,,NORMAL,False
BOM-ATQ,2025-11-02,BOM,ATQ,1449,11110.58,INR,117,0.63,1299937.86,0,0,,NORMAL,False
PAT-IXC,2025-11-02,PAT,IXC,1027,8304.02,INR,131,0.7,1087826.62,0,0,,NORMAL,False
IXC-PNQ,2025-11-02,IXC,PNQ,2406,13817.9,INR,155,0.83,2141774.5,0,0,,NORMAL,False
BLR-VNS,2025-11-02,BLR,VNS,2492,15857.1,INR,124,0.67,1966280.4,0,0,,NORMAL,False
BHO-SXR,2025-11-02,BHO,SXR,1702,10695.86,INR,180,0.97,1925254.8,0,0,,NORMAL,False
BLR-SXR,2025-11-02,BLR,SXR,1366,8788.63,INR,158,0.85,1388603.54,0,0,,NORMAL,False
LKO-JAI,2025-11-02,LKO,JAI,1838,14305.65,INR,105,0.56,1502093.25,0,0,,NORMAL,False
AMD-PAT,2025-11-02,AMD,PAT,853,7168.8,INR,90,0.48,645192.0,0,0,,NORMAL,False
BHO-HYD,2025-11-02,BHO,HYD,779,8445.94,INR,185,0.99,1562498.9,0,0,,NORMAL,False
ATQ-IXC,2025-11-02,ATQ,IXC,1886,14323.7,INR,93,0.5,1332104.1,0,0,,NORMAL,False
BHO-PNQ,2025-11-02,BHO,PNQ,1817,11071.15,INR,82,0.44,907834.3,0,0,,NORMAL,False
IXB-SXR,2025-11-02,IXB,SXR,2607,15179.53,INR,177,0.95,2686776.81,0,0,,NORMAL,False
BOM-COK,2025-11-02,BOM,COK,366,4632.52,INR,174,0.94,806058.48,0,0,,NORMAL,False
LKO-IXC,2025-11-02,LKO,IXC,928,9027.58,INR,110,0.59,993033.8,0,0,,NORMAL,False
IXC-IXB,2025-11-02,IXC,IXB,1786,10948.01,INR,159,0.85,1740733.59,0,0,,NORMAL,False
SXR-JAI,2025-11-02,SXR,JAI,2739,15993.74,INR,100,0.54,1599374.0,0,0,,NORMAL,False
GAU-MAA,2025-11-02,GAU,MAA,2240,13489.28,INR,164,0.88,2212241.92,0,0,,NORMAL,False
GOI-JAI,2025-11-02,GOI,JAI,1165,9755.12,INR,181,0.97,1765676.72,0,0,,NORMAL,False
IXC-AMD,2025-11-02,IXC,AMD,677,7282.33,INR,100,0.54,728233.0,0,0,,NORMAL,False
SXR-IXC,2025-11-02,SXR,IXC,1581,11676.64,INR,80,0.43,934131.2,0,0,,NORMAL,False
COK-CCU,2025-11-02,COK,CCU,2289,15436.98,INR,133,0.72,2053118.34,0,0,,NORMAL,False
BOM-JAI,2025-11-02,BOM,JAI,453,4907.47,INR,128,0.69,628156.16,0,0,,NORMAL,False
BHO-IXB,2025-11-02,BHO,IXB,638,6008.12,INR,129,0.69,775047.48,0,0,,NORMAL,False
MAA-VNS,2025-11-02,MAA,VNS,1379,11760.76,INR,98,0.53,1152554.48,0,0,,NORMAL,False
AMD-BOM,2025-11-02,AMD,BOM,768,7009.43,INR,169,0.91,1184593.67,0,0,,NORMAL,False
