route_id,date,origin,destination,distance_km,avg_fare,currency,pax_boarded,load_factor,revenue,refunds_issued,is_govt_capped,cap_fare_limit,season_tag,avg_fare_inr,revenue_inr,refunds_issued_inr,currency_standardized,cap_applied_flag
JAI-BHO,2025-12-01,JAI,BHO,983,100.18,USD,117,0.63,11721.06,0,0,,PEAK_WEDDING,8314.94,972847.98,0,INR,False
PNQ-LKO,2025-12-01,PNQ,LKO,1685,11954.63,INR,95,0.51,1135689.85,0,0,18000.0,PEAK_WEDDING,11954.63,1135689.85,0,INR,True
IXC-DEL,2025-12-01,IXC,DEL,1672,12623.02,INR,185,0.99,2335258.7,0,0,18000.0,PEAK_WEDDING,12623.02,2335258.7,0,INR,True
JAI-ATQ,2025-12-01,JAI,ATQ,877,7294.29,INR,155,0.83,1130614.95,0,0,,PEAK_WEDDING,7294.29,1130614.95,0,INR,False
IXC-ATQ,2025-12-01,IXC,ATQ,2126,15101.69,INR,170,0.91,2567287.3,0,0,18000.0,PEAK_WEDDING,15101.69,2567287.3,0,INR,True
CCU-DEL,2025-12-01,CCU,DEL,2043,13870.48,INR,162,0.87,2247017.76,0,0,18000.0,PEAK_WEDDING,13870.48,2247017.76,0,INR,True
IXC-JAI,2025-12-01,IXC,JAI,849,7455.15,INR,139,0.75,1036265.85,0,0,,PEAK_WEDDING,7455.15,1036265.85,0,INR,False
MAA-BLR,2025-12-01,MAA,BLR,874,7430.81,INR,83,0.45,616757.23,0,0,,PEAK_WEDDING,7430.81,616757.23,0,INR,False
PNQ-JAI,2025-12-01,PNQ,JAI,778,6548.61,INR,89,0.48,582826.29,0,0,,PEAK_WEDDING,6548.61,582826.29,0,INR,False
BOM-CCU,2025-12-01,BOM,CCU,2723,15259.28,INR,100,0.54,1525928.0,0,0,18000.0,PEAK_WEDDING,15259.28,1525928.0,0,INR,True
VNS-HYD,2025-12-01,VNS,HYD,436,5007.31,INR,123,0.66,615899.13,0,0,,PEAK_WEDDING,5007.31,615899.13,0,INR,False
ATQ-GAU,2025-12-01,ATQ,GAU,2741,15262.25,INR,120,0.65,1831470.0,0,0,18000.0,PEAK_WEDDING,15262.25,1831470.0,0,INR,True
MAA-VNS,2025-12-01,MAA,VNS,359,4668.4,INR,144,0.77,672249.6,0,0,,PEAK_WEDDING,4668.4,672249.6,0,INR,False
BHO-ATQ,2025-12-01,BHO,ATQ,1130,8027.77,INR,153,0.82,1228248.81,0,0,,PEAK_WEDDING,8027.77,1228248.81,0,INR,False
JAI-MAA,2025-12-01,JAI,MAA,659,7592.82,INR,163,0.88,1237629.66,0,0,,PEAK_WEDDING,7592.82,1237629.66,0,INR,False
ATQ-COK,2025-12-01,ATQ,COK,1518,12604.64,INR,144,0.77,1815068.16,0,0,18000.0,PEAK_WEDDING,12604.64,1815068.16,0,INR,True
LKO-MAA,2025-12-01,LKO,MAA,373,63.87,USD,134,0.72,8558.58,0,0,,PEAK_WEDDING,5301.21,710362.14,0,INR,False
BLR-BHO,2025-12-01,BLR,BHO,2070,15157.51,INR,119,0.64,1803743.69,0,0,18000.0,PEAK_WEDDING,15157.51,1803743.69,0,INR,True
GOI-IXB,2025-12-01,GOI,IXB,2749,16473.65,INR,130,0.7,2141574.5,0,0,18000.0,PEAK_WEDDING,16473.65,2141574.5,0,INR,True
IXB-PNQ,2025-12-01,IXB,PNQ,2121,13884.5,INR,83,0.45,1152413.5,0,0,18000.0,PEAK_WEDDING,13884.5,1152413.5,0,INR,True
BOM-BHO,2025-12-01,BOM,BHO,1138,8125.07,INR,170,0.91,1381261.9,0,0,,PEAK_WEDDING,8125.07,1381261.9,0,INR,False
CCU-VNS,2025-12-01,CCU,VNS,938,7524.01,INR,148,0.8,1113553.48,0,0,,PEAK_WEDDING,7524.01,1113553.48,0,INR,False
JAI-GAU,2025-12-01,JAI,GAU,997,7642.94,INR,100,0.54,764294.0,0,0,,PEAK_WEDDING,7642.94,764294.0,0,INR,False
IXB-BOM,2025-12-01,IXB,BOM,1905,11883.07,INR,182,0.98,2162718.74,0,0,18000.0,PEAK_WEDDING,11883.07,2162718.74,0,INR,True
ATQ-DEL,2025-12-01,ATQ,DEL,2421,17396.48,INR,104,0.56,1809233.92,0,0,18000.0,PEAK_WEDDING,17396.48,1809233.92,0,INR,True
IXB-SXR,2025-12-01,IXB,SXR,2260,16895.29,INR,124,0.67,2095015.96,0,0,18000.0,PEAK_WEDDING,16895.29,2095015.96,0,INR,True
BOM-AMD,2025-12-01,BOM,AMD,2571,14286.6,INR,85,0.46,1214361.0,0,0,18000.0,PEAK_WEDDING,14286.6,1214361.0,0,INR,True
COK-PAT,2025-12-01,COK,PAT,2112,167.38,USD,184,0.99,30797.92,0,0,18000.0,PEAK_WEDDING,13892.539999999999,2556227.36,0,INR,True
MAA-LKO,2025-12-01,MAA,LKO,1963,12807.38,INR,185,0.99,2369365.3,0,0,18000.0,PEAK_WEDDING,12807.38,2369365.3,0,INR,True
LKO-GAU,2025-12-01,LKO,GAU,1187,10490.18,INR,165,0.89,1730879.7,0,0,,PEAK_WEDDING,10490.18,1730879.7,0,INR,False
AMD-PNQ,2025-12-01,AMD,PNQ,452,5475.45,INR,139,0.75,761087.55,0,0,,PEAK_WEDDING,5475.45,761087.55,0,INR,False
BOM-HYD,2025-12-01,BOM,HYD,1210,10579.44,INR,107,0.58,1132000.08,0,0,,PEAK_WEDDING,10579.44,1132000.08,0,INR,False
PAT-SXR,2025-12-01,PAT,SXR,1977,15372.02,INR,151,0.81,2321175.02,0,0,18000.0,PEAK_WEDDING,15372.02,2321175.02,0,INR,True
VNS-BOM,2025-12-01,VNS,BOM,1814,12487.21,INR,145,0.78,1810645.45,0,0,18000.0,PEAK_WEDDING,12487.21,1810645.45,0,INR,True
LKO-IXC,2025-12-01,LKO,IXC,2788,15014.92,INR,171,0.92,2567551.32,0,0,18000.0,PEAK_WEDDING,15014.92,2567551.32,0,INR,True
DEL-AMD,2025-12-01,DEL,AMD,1154,9876.52,INR,122,0.66,1204935.44,0,0,,PEAK_WEDDING,9876.52,1204935.44,0,INR,False
HYD-BHO,2025-12-01,HYD,BHO,1188,8774.28,INR,169,0.91,1482853.32,0,0,,PEAK_WEDDING,8774.28,1482853.32,0,INR,False
CCU-SXR,2025-12-01,CCU,SXR,1313,8668.16,INR,98,0.53,849479.68,0,0,,PEAK_WEDDING,8668.16,849479.68,0,INR,False
ATQ-IXC,2025-12-01,ATQ,IXC,1026,8135.33,INR,85,0.46,691503.05,0,0,,PEAK_WEDDING,8135.33,691503.05,0,INR,False
IXB-PAT,2025-12-01,IXB,PAT,2075,15350.14,INR,166,0.89,2548123.24,0,0,18000.0,PEAK_WEDDING,15350.14,2548123.24,0,INR,True
HYD-GOI,2025-12-01,HYD,GOI,1022,7356.08,INR,86,0.46,632622.88,0,0,,PEAK_WEDDING,7356.08,632622.88,0,INR,False
JAI-IXC,2025-12-01,JAI,IXC,662,81.07,USD,102,0.55,8269.14,0,0,,PEAK_WEDDING,6728.8099999999995,686338.62,0,INR,False
BLR-VNS,2025-12-01,BLR,VNS,2739,15004.67,INR,100,0.54,1500467.0,0,0,18000.0,PEAK_WEDDING,15004.67,1500467.0,0,INR,True
IXC-COK,2025-12-01,IXC,COK,1297,11477.7,INR,175,0.94,2008597.5,0,0,,PEAK_WEDDING,11477.7,2008597.5,0,INR,False
ATQ-BOM,2025-12-01,ATQ,BOM,2415,13347.67,INR,180,0.97,2402580.6,0,0,18000.0,PEAK_WEDDING,13347.67,2402580.6,0,INR,True
IXB-MAA,2025-12-01,IXB,MAA,1854,12797.18,INR,119,0.64,1522864.42,0,0,18000.0,PEAK_WEDDING,12797.18,1522864.42,0,INR,True
ATQ-BHO,2025-12-01,ATQ,BHO,1226,11001.73,INR,131,0.7,1441226.63,0,0,,PEAK_WEDDING,11001.73,1441226.63,0,INR,False
GOI-BHO,2025-12-01,GOI,BHO,832,8102.14,INR,177,0.95,1434078.78,0,0,,PEAK_WEDDING,8102.14,1434078.78,0,INR,False
DEL-LKO,2025-12-01,DEL,LKO,2604,17050.8,INR,179,0.96,3052093.2,0,0,18000.0,PEAK_WEDDING,17050.8,3052093.2,0,INR,True
BOM-JAI,2025-12-01,BOM,JAI,1276,10683.11,INR,172,0.92,1837494.92,0,0,,PEAK_WEDDING,10683.11,1837494.92,0,INR,False
HYD-GAU,2025-12-01,HYD,GAU,375,5774.55,INR,167,0.9,964349.85,0,0,,PEAK_WEDDING,5774.55,964349.85,0,INR,False
LKO-IXB,2025-12-01,LKO,IXB,2229,13962.47,INR,112,0.6,1563796.64,0,0,18000.0,PEAK_WEDDING,13962.47,1563796.64,0,INR,True
IXB-BLR,2025-12-01,IXB,BLR,2546,14882.78,INR,84,0.45,1250153.52,0,0,18000.0,PEAK_WEDDING,14882.78,1250153.52,0,INR,True
IXB-LKO,2025-12-01,IXB,LKO,500,5997.02,INR,140,0.75,839582.8,0,0,,PEAK_WEDDING,5997.02,839582.8,0,INR,False
MAA-JAI,2025-12-01,MAA,JAI,2648,14532.76,INR,146,0.78,2121782.96,0,0,18000.0,PEAK_WEDDING,14532.76,2121782.96,0,INR,True
AMD-GOI,2025-12-01,AMD,GOI,855,8645.09,INR,118,0.63,1020120.62,0,0,,PEAK_WEDDING,8645.09,1020120.62,0,INR,False
AMD-BLR,2025-12-01,AMD,BLR,2799,15905.37,INR,165,0.89,2624386.05,0,0,18000.0,PEAK_WEDDING,15905.37,2624386.05,0,INR,True
SXR-JAI,2025-12-01,SXR,JAI,2402,14460.14,INR,144,0.77,2082260.16,0,0,18000.0,PEAK_WEDDING,14460.14,2082260.16,0,INR,True
GAU-MAA,2025-12-01,GAU,MAA,1412,9061.68,INR,120,0.65,1087401.6,0,0,,PEAK_WEDDING,9061.68,1087401.6,0,INR,False
SXR-MAA,2025-12-01,SXR,MAA,965,7620.76,INR,89,0.48,678247.64,0,0,,PEAK_WEDDING,7620.76,678247.64,0,INR,False
HYD-PNQ,2025-12-01,HYD,PNQ,1423,10747.39,INR,114,0.61,1225202.46,0,0,,PEAK_WEDDING,10747.39,1225202.46,0,INR,False
BHO-DEL,2025-12-01,BHO,DEL,2461,14342.58,INR,144,0.77,2065331.52,0,0,18000.0,PEAK_WEDDING,14342.58,2065331.52,0,INR,True
COK-IXC,2025-12-01,COK,IXC,1296,10710.99,INR,82,0.44,878301.18,0,0,,PEAK_WEDDING,10710.99,878301.18,0,INR,False
ATQ-HYD,2025-12-01,ATQ,HYD,1743,12039.92,INR,95,0.51,1143792.4,0,0,18000.0,PEAK_WEDDING,12039.92,1143792.4,0,INR,True
VNS-PNQ,2025-12-01,VNS,PNQ,2401,14673.59,INR,150,0.81,2201038.5,0,0,18000.0,PEAK_WEDDING,14673.59,2201038.5,0,INR,True
LKO-AMD,2025-12-01,LKO,AMD,1584,11818.83,INR,102,0.55,1205520.66,0,0,18000.0,PEAK_WEDDING,11818.83,1205520.66,0,INR,True
LKO-JAI,2025-12-01,LKO,JAI,2054,13124.57,INR,106,0.57,1391204.42,0,0,18000.0,PEAK_WEDDING,13124.57,1391204.42,0,INR,True
IXB-COK,2025-12-01,IXB,COK,1106,7739.7,INR,120,0.65,928764.0,0,0,,PEAK_WEDDING,7739.7,928764.0,0,INR,False
IXB-VNS,2025-12-01,IXB,VNS,674,7141.52,INR,80,0.43,571321.6,0,0,,PEAK_WEDDING,7141.52,571321.6,0,INR,False
PNQ-BHO,2025-12-01,PNQ,BHO,349,5062.93,INR,100,0.54,506293.0,0,0,,PEAK_WEDDING,5062.93,506293.0,0,INR,False
PAT-ATQ,2025-12-01,PAT,ATQ,2727,15692.81,INR,175,0.94,2746241.75,0,0,18000.0,PEAK_WEDDING,15692.81,2746241.75,0,INR,True
DEL-IXC,2025-12-01,DEL,IXC,2452,16025.31,INR,148,0.8,2371745.88,0,0,18000.0,PEAK_WEDDING,16025.31,2371745.88,0,INR,True
GAU-DEL,2025-12-01,GAU,DEL,1882,14397.19,INR,99,0.53,1425321.81,0,0,18000.0,PEAK_WEDDING,14397.19,1425321.81,0,INR,True
PAT-AMD,2025-12-01,PAT,AMD,1575,10636.91,INR,81,0.44,861589.71,0,0,18000.0,PEAK_WEDDING,10636.91,861589.71,0,INR,True
VNS-COK,2025-12-01,VNS,COK,2057,14386.9,INR,178,0.96,2560868.2,0,0,18000.0,PEAK_WEDDING,14386.9,2560868.2,0,INR,True
BHO-MAA,2025-12-01,BHO,MAA,2071,15147.26,INR,127,0.68,1923702.02,0,0,18000.0,PEAK_WEDDING,15147.26,1923702.02,0,INR,True
AMD-VNS,2025-12-01,AMD,VNS,1538,11293.65,INR,104,0.56,1174539.6,0,0,18000.0,PEAK_WEDDING,11293.65,1174539.6,0,INR,True
MAA-COK,2025-12-01,MAA,COK,1074,8124.57,INR,97,0.52,788083.29,0,0,,PEAK_WEDDING,8124.57,788083.29,0,INR,False
BOM-GOI,2025-12-01,BOM,GOI,1834,13085.4,INR,80,0.43,1046832.0,0,0,18000.0,PEAK_WEDDING,13085.4,1046832.0,0,INR,True
LKO-COK,2025-12-01,LKO,COK,2472,15981.67,INR,98,0.53,1566203.66,0,0,18000.0,PEAK_WEDDING,15981.67,1566203.66,0,INR,True
GOI-IXC,2025-12-01,GOI,IXC,1399,10186.99,INR,171,0.92,1741975.29,0,0,,PEAK_WEDDING,10186.99,1741975.29,0,INR,False
ATQ-GOI,2025-12-01,ATQ,GOI,1420,9859.56,INR,87,0.47,857781.72,0,0,,PEAK_WEDDING,9859.56,857781.72,0,INR,False
AMD-SXR,2025-12-01,AMD,SXR,2652,18358.02,INR,93,0.5,1707295.86,0,0,18000.0,PEAK_WEDDING,18358.02,1707295.86,0,INR,True
MAA-AMD,2025-12-01,MAA,AMD,1662,12824.71,INR,175,0.94,2244324.25,0,0,18000.0,PEAK_WEDDING,12824.71,2244324.25,0,INR,True
PAT-JAI,2025-12-01,PAT,JAI,306,5514.66,INR,146,0.78,805140.36,0,0,,PEAK_WEDDING,5514.66,805140.36,0,INR,False
PAT-MAA,2025-12-01,PAT,MAA,637,5859.74,INR,184,0.99,1078192.16,0,0,,PEAK_WEDDING,5859.74,1078192.16,0,INR,False
BOM-BLR,2025-12-01,BOM,BLR,2696,16649.18,INR,148,0.8,2464078.64,0,0,18000.0,PEAK_WEDDING,16649.18,2464078.64,0,INR,True
BHO-VNS,2025-12-01,BHO,VNS,2074,12964.0,INR,168,0.9,2177952.0,0,0,18000.0,PEAK_WEDDING,12964.0,2177952.0,0,INR,True
PAT-COK,2025-12-01,PAT,COK,2270,13558.1,INR,180,0.97,2440458.0,0,0,18000.0,PEAK_WEDDING,13558.1,2440458.0,0,INR,True
BHO-COK,2025-12-01,BHO,COK,617,6643.74,INR,134,0.72,890261.16,0,0,,PEAK_WEDDING,6643.74,890261.16,0,INR,False
DEL-BOM,2025-12-01,DEL,BOM,2587,16303.71,INR,95,0.51,1548852.45,0,0,18000.0,PEAK_WEDDING,16303.71,1548852.45,0,INR,True
IXC-IXB,2025-12-01,IXC,IXB,2659,17330.89,INR,97,0.52,1681096.33,0,0,18000.0,PEAK_WEDDING,17330.89,1681096.33,0,INR,True
PNQ-DEL,2025-12-01,PNQ,DEL,2234,15996.78,INR,100,0.54,1599678.0,0,0,18000.0,PEAK_WEDDING,15996.78,1599678.0,0,INR,True
SXR-GOI,2025-12-01,SXR,GOI,1998,14418.83,INR,178,0.96,2566551.74,0,0,18000.0,PEAK_WEDDING,14418.83,2566551.74,0,INR,True
PAT-VNS,2025-12-01,PAT,VNS,1610,11817.44,INR,151,0.81,1784433.44,0,0,18000.0,PEAK_WEDDING,11817.44,1784433.44,0,INR,True
LKO-BHO,2025-12-01,LKO,BHO,2032,15282.37,INR,177,0.95,2704979.49,0,0,18000.0,PEAK_WEDDING,15282.37,2704979.49,0,INR,True
VNS-PAT,2025-12-01,VNS,PAT,2753,19604.73,INR,157,0.84,3077942.61,0,0,18000.0,PEAK_WEDDING,19604.73,3077942.61,0,INR,True
BHO-PAT,2025-12-01,BHO,PAT,2242,16368.49,INR,151,0.81,2471641.99,0,0,18000.0,PEAK_WEDDING,16368.49,2471641.99,0,INR,True
JAI-PAT,2025-12-01,JAI,PAT,1759,11034.0,INR,122,0.66,1346148.0,0,0,18000.0,PEAK_WEDDING,11034.0,1346148.0,0,INR,True
BLR-LKO,2025-12-01,BLR,LKO,900,95.24,USD,166,0.89,15809.84,0,0,,PEAK_WEDDING,7904.919999999999,1312216.72,0,INR,False
IXC-SXR,2025-12-01,IXC,SXR,1316,10169.97,INR,106,0.57,1078016.82,0,0,,PEAK_WEDDING,10169.97,1078016.82,0,INR,False
MAA-IXC,2025-12-01,MAA,IXC,1732,12326.38,INR,182,0.98,2243401.16,0,0,18000.0,PEAK_WEDDING,12326.38,2243401.16,0,INR,True
LKO-BOM,2025-12-01,LKO,BOM,1667,10980.35,INR,163,0.88,1789797.05,0,0,18000.0,PEAK_WEDDING,10980.35,1789797.05,0,INR,True
VNS-JAI,2025-12-01,VNS,JAI,1171,8574.57,INR,139,0.75,1191865.23,0,0,,PEAK_WEDDING,8574.57,1191865.23,0,INR,False
ATQ-CCU,2025-12-01,ATQ,CCU,1931,13073.87,INR,171,0.92,2235631.77,0,0,18000.0,PEAK_WEDDING,13073.87,2235631.77,0,INR,True
BLR-ATQ,2025-12-01,BLR,ATQ,647,6998.88,INR,101,0.54,706886.88,0,0,,PEAK_WEDDING,6998.88,706886.88,0,INR,False
ATQ-IXB,2025-12-01,ATQ,IXB,560,5422.08,INR,184,0.99,997662.72,0,0,,PEAK_WEDDING,5422.08,997662.72,0,INR,False
BLR-PNQ,2025-12-01,BLR,PNQ,1894,14460.15,INR,141,0.76,2038881.15,0,0,18000.0,PEAK_WEDDING,14460.15,2038881.15,0,INR,True
IXC-PNQ,2025-12-01,IXC,PNQ,519,6247.21,INR,178,0.96,1112003.38,0,0,,PEAK_WEDDING,6247.21,1112003.38,0,INR,False
SXR-HYD,2025-12-01,SXR,HYD,2135,13924.38,INR,177,0.95,2464615.26,0,0,18000.0,PEAK_WEDDING,13924.38,2464615.26,0,INR,True
PAT-BHO,2025-12-01,PAT,BHO,1443,10056.7,INR,137,0.74,1377767.9,0,0,,PEAK_WEDDING,10056.7,1377767.9,0,INR,False
GAU-HYD,2025-12-01,GAU,HYD,2174,14729.92,INR,160,0.86,2356787.2,0,0,18000.0,PEAK_WEDDING,14729.92,2356787.2,0,INR,True
GAU-IXB,2025-12-01,GAU,IXB,694,6331.12,INR,117,0.63,740741.04,0,0,,PEAK_WEDDING,6331.12,740741.04,0,INR,False
SXR-DEL,2025-12-01,SXR,DEL,1076,8759.85,INR,130,0.7,1138780.5,0,0,,PEAK_WEDDING,8759.85,1138780.5,0,INR,False
JAI-SXR,2025-12-01,JAI,SXR,333,61.49,USD,185,0.99,11375.65,0,0,,PEAK_WEDDING,5103.67,944178.95,0,INR,False
MAA-CCU,2025-12-01,MAA,CCU,1530,132.74,USD,137,0.74,18185.38,0,0,18000.0,PEAK_WEDDING,11017.42,1509386.54,0,INR,True
GOI-DEL,2025-12-01,GOI,DEL,1273,10786.95,INR,116,0.62,1251286.2,0,0,,PEAK_WEDDING,10786.95,1251286.2,0,INR,False
COK-IXB,2025-12-01,COK,IXB,2725,15568.53,INR,94,0.51,1463441.82,0,0,18000.0,PEAK_WEDDING,15568.53,1463441.82,0,INR,True
BOM-COK,2025-12-01,BOM,COK,469,6508.05,INR,183,0.98,1190973.15,0,0,,PEAK_WEDDING,6508.05,1190973.15,0,INR,False
AMD-LKO,2025-12-01,AMD,LKO,2072,13356.54,INR,182,0.98,2430890.28,0,0,18000.0,PEAK_WEDDING,13356.54,2430890.28,0,INR,True
IXB-CCU,2025-12-01,IXB,CCU,1666,12252.11,INR,170,0.91,2082858.7,0,0,18000.0,PEAK_WEDDING,12252.11,2082858.7,0,INR,True
IXB-DEL,2025-12-01,IXB,DEL,1333,10286.59,INR,186,1.0,1913305.74,0,0,,PEAK_WEDDING,10286.59,1913305.74,0,INR,False
ATQ-MAA,2025-12-01,ATQ,MAA,2751,19101.52,INR,185,0.99,3533781.2,0,0,18000.0,PEAK_WEDDING,19101.52,3533781.2,0,INR,True
SXR-IXC,2025-12-01,SXR,IXC,1769,12910.62,INR,172,0.92,2220626.64,0,0,18000.0,PEAK_WEDDING,12910.62,2220626.64,0,INR,True
HYD-IXB,2025-12-01,HYD,IXB,1475,10720.17,INR,104,0.56,1114897.68,0,0,,PEAK_WEDDING,10720.17,1114897.68,0,INR,False
BHO-IXB,2025-12-01,BHO,IXB,2301,178.63,USD,89,0.48,15898.07,0,0,18000.0,PEAK_WEDDING,14826.289999999999,1319539.81,0,INR,True
GAU-COK,2025-12-01,GAU,COK,2343,16710.18,INR,142,0.76,2372845.56,0,0,18000.0,PEAK_WEDDING,16710.18,2372845.56,0,INR,True
PAT-BLR,2025-12-01,PAT,BLR,2416,15615.14,INR,185,0.99,2888800.9,0,0,18000.0,PEAK_WEDDING,15615.14,2888800.9,0,INR,True
LKO-BLR,2025-12-01,LKO,BLR,1350,9652.53,INR,157,0.84,1515447.21,0,0,,PEAK_WEDDING,9652.53,1515447.21,0,INR,False
BOM-ATQ,2025-12-01,BOM,ATQ,481,5964.68,INR,108,0.58,644185.44,0,0,,PEAK_WEDDING,5964.68,644185.44,0,INR,False
BLR-IXC,2025-12-01,BLR,IXC,1704,12910.59,INR,140,0.75,1807482.6,0,0,18000.0,PEAK_WEDDING,12910.59,1807482.6,0,INR,True
BLR-DEL,2025-12-01,BLR,DEL,2519,18435.16,INR,182,0.98,3355199.12,0,0,18000.0,PEAK_WEDDING,18435.16,3355199.12,0,INR,True
ATQ-PAT,2025-12-01,ATQ,PAT,2194,13868.99,INR,117,0.63,1622671.83,0,0,18000.0,PEAK_WEDDING,13868.99,1622671.83,0,INR,True
CCU-LKO,2025-12-01,CCU,LKO,2428,17049.28,INR,159,0.85,2710835.52,0,0,18000.0,PEAK_WEDDING,17049.28,2710835.52,0,INR,True
GAU-CCU,2025-12-01,GAU,CCU,2628,14969.09,INR,116,0.62,1736414.44,0,0,18000.0,PEAK_WEDDING,14969.09,1736414.44,0,INR,True
ATQ-JAI,2025-12-01,ATQ,JAI,1246,9807.8,INR,91,0.49,892509.8,0,0,,PEAK_WEDDING,9807.8,892509.8,0,INR,False
AMD-HYD,2025-12-01,AMD,HYD,386,5976.63,INR,97,0.52,579733.11,0,0,,PEAK_WEDDING,5976.63,579733.11,0,INR,False
DEL-HYD,2025-12-01,DEL,HYD,1786,11494.84,INR,126,0.68,1448349.84,0,0,18000.0,PEAK_WEDDING,11494.84,1448349.84,0,INR,True
SXR-BHO,2025-12-01,SXR,BHO,831,6822.66,INR,180,0.97,1228078.8,0,0,,PEAK_WEDDING,6822.66,1228078.8,0,INR,False
IXC-BHO,2025-12-01,IXC,BHO,1837,12459.9,INR,162,0.87,2018503.8,0,0,18000.0,PEAK_WEDDING,12459.9,2018503.8,0,INR,True
BOM-PAT,2025-12-01,BOM,PAT,2467,16331.42,INR,99,0.53,1616810.58,0,0,18000.0,PEAK_WEDDING,16331.42,1616810.58,0,INR,True
BHO-GOI,2025-12-01,BHO,GOI,2603,17399.76,INR,104,0.56,1809575.04,0,0,18000.0,PEAK_WEDDING,17399.76,1809575.04,0,INR,True
IXB-IXC,2025-12-01,IXB,IXC,2385,16380.18,INR,149,0.8,2440646.82,0,0,18000.0,PEAK_WEDDING,16380.18,2440646.82,0,INR,True
COK-MAA,2025-12-01,COK,MAA,2330,17132.93,INR,145,0.78,2484274.85,0,0,18000.0,PEAK_WEDDING,17132.93,2484274.85,0,INR,True
JAI-PNQ,2025-12-01,JAI,PNQ,767,6738.04,INR,140,0.75,943325.6,0,0,,PEAK_WEDDING,6738.04,943325.6,0,INR,False
VNS-GAU,2025-12-01,VNS,GAU,2107,14251.78,INR,82,0.44,1168645.96,0,0,18000.0,PEAK_WEDDING,14251.78,1168645.96,0,INR,True
BOM-MAA,2025-12-01,BOM,MAA,820,7070.4,INR,133,0.72,940363.2,0,0,,PEAK_WEDDING,7070.4,940363.2,0,INR,False
VNS-LKO,2025-12-01,VNS,LKO,1306,10897.74,INR,80,0.43,871819.2,0,0,,PEAK_WEDDING,10897.74,871819.2,0,INR,False
GAU-ATQ,2025-12-01,GAU,ATQ,2428,14651.54,INR,152,0.82,2227034.08,0,0,18000.0,PEAK_WEDDING,14651.54,2227034.08,0,INR,True
SXR-CCU,2025-12-01,SXR,CCU,370,4918.37,INR,177,0.95,870551.49,0,0,,PEAK_WEDDING,4918.37,870551.49,0,INR,False
COK-GOI,2025-12-01,COK,GOI,2411,14606.7,INR,109,0.59,1592130.3,0,0,18000.0,PEAK_WEDDING,14606.7,1592130.3,0,INR,True
IXC-GOI,2025-12-01,IXC,GOI,2489,14008.86,INR,96,0.52,1344850.56,0,0,18000.0,PEAK_WEDDING,14008.86,1344850.56,0,INR,True
CCU-BOM,2025-12-01,CCU,BOM,1731,11624.48,INR,182,0.98,2115655.36,0,0,18000.0,PEAK_WEDDING,11624.48,2115655.36,0,INR,True
HYD-DEL,2025-12-01,HYD,DEL,2744,15534.95,INR,120,0.65,1864194.0,0,0,18000.0,PEAK_WEDDING,15534.95,1864194.0,0,INR,True
CCU-COK,2025-12-01,CCU,COK,1181,10791.22,INR,90,0.48,971209.8,0,0,,PEAK_WEDDING,10791.22,971209.8,0,INR,False
