staff_code,week_number,year,fdtl_phase,night_landings,night_landing_limit,actual_rest_hrs,required_rest_hrs,compliant,reported_by,verified
SC10017,47,2025,Phase_II,1,2,61.2,48,YES,Ops Control,
SC10017,48,2025,Phase_II,4,2,34.8,48,NO,Ops Control,
SC10017,49,2025,Phase_II,6,2,68.7,48,NO,Manual Entry,
SC10017,50,2025,Phase_II,7,2,36.4,48,NO,Ops Control,False
SC10018,44,2025,Phase_I,7,6,46.7,36,NO,Manual Entry,
SC10018,45,2025,Phase_II,4,2,34.2,48,NO,Ops Control,True
SC10018,46,2025,Phase_II,2,2,44.2,48,NO,Manual Entry,
SC10018,47,2025,Phase_II,8,2,34.0,48,NO,HR System,True
SC10018,48,2025,Phase_II,4,2,43.6,48,NO,Manual Entry,
SC10018,49,2025,Phase_II,2,2,51.6,48,YES,Manual Entry,True
SC10018,50,2025,Phase_II,5,2,43.3,48,NO,Manual Entry,
SC10019,44,2025,Phase_I,5,6,59.6,36,YES,Manual Entry,True
SC10019,45,2025,Phase_II,3,2,71.6,48,NO,Manual Entry,False
SC10019,46,2025,Phase_II,5,2,57.0,48,NO,HR System,False
SC10019,47,2025,Phase_II,4,2,47.5,48,NO,Manual Entry,
SC10019,48,2025,Phase_II,7,2,44.9,48,NO,Manual Entry,
SC10019,49,2025,Phase_II,4,2,54.7,48,NO,HR System,
SC10019,50,2025,Phase_II,5,2,63.5,48,NO,HR System,
SC10020,44,2025,Phase_I,2,6,45.2,36,YES,Manual Entry,False
SC10020,45,2025,Phase_II,2,2,71.7,48,YES,HR System,True
SC10020,46,2025,Phase_II,0,2,63.7,48,YES,Ops Control,False
SC10020,47,2025,Phase_II,1,2,33.1,48,NO,Manual Entry,
SC10020,48,2025,Phase_II,1,2,31.5,48,NO,Manual Entry,False
SC10020,49,2025,Phase_II,7,2,55.6,48,NO,HR System,True
SC10020,50,2025,Phase_II,0,2,53.9,48,YES,HR System,True
SC10021,44,2025,Phase_I,5,6,55.4,36,YES,Ops Control,
SC10021,45,2025,Phase_II,0,2,57.5,48,YES,Ops Control,False
SC10021,46,2025,Phase_II,4,2,69.2,48,NO,Manual Entry,True
SC10021,47,2025,Phase_II,3,2,67.3,48,NO,Ops Control,
SC10021,48,2025,Phase_II,6,2,62.9,48,NO,HR System,False
SC10021,49,2025,Phase_II,2,2,71.6,48,YES,Manual Entry,True
SC10021,50,2025,Phase_II,4,2,33.0,48,NO,Ops Control,False
SC10022,44,2025,Phase_I,6,6,69.5,36,YES,HR System,
SC10022,45,2025,Phase_II,1,2,29.9,48,NO,Manual Entry,
SC10022,46,2025,Phase_II,4,2,70.5,48,NO,Ops Control,True
SC10022,47,2025,Phase_II,1,2,60.7,48,YES,Ops Control,False
SC10022,48,2025,Phase_II,1,2,46.1,48,NO,HR System,True
SC10022,49,2025,Phase_II,3,2,65.1,48,NO,HR System,True
SC10022,50,2025,Phase_II,1,2,43.2,48,NO,Ops Control,
SC10023,44,2025,Phase_I,7,6,62.7,36,NO,HR System,False
SC10023,45,2025,Phase_II,2,2,70.1,48,YES,Manual Entry,True
SC10023,46,2025,Phase_II,8,2,52.2,48,NO,Manual Entry,False
SC10023,47,2025,Phase_II,4,2,60.4,48,NO,HR System,False
SC10023,48,2025,Phase_II,6,2,71.9,48,NO,Ops Control,
SC10023,49,2025,Phase_II,2,2,39.5,48,NO,HR System,True
SC10023,50,2025,Phase_II,0,2,38.4,48,NO,HR System,False
SC10024,44,2025,Phase_I,7,6,44.7,36,NO,Ops Control,False
SC10024,45,2025,Phase_II,7,2,28.7,48,NO,Ops Control,False
SC10024,46,2025,Phase_II,0,2,36.6,48,NO,Ops Control,
SC10024,47,2025,Phase_II,0,2,29.4,48,NO,HR System,
SC10024,48,2025,Phase_II,4,2,70.5,48,NO,Ops Control,True
SC10024,49,2025,Phase_II,3,2,57.8,48,NO,HR System,
SC10024,50,2025,Phase_II,5,2,44.3,48,NO,Manual Entry,False
SC10025,44,2025,Phase_I,2,6,70.1,36,YES,Manual Entry,False
SC10025,45,2025,Phase_II,4,2,28.8,48,NO,HR System,False
SC10025,46,2025,Phase_II,0,2,42.7,48,NO,Ops Control,False
SC10025,47,2025,Phase_II,7,2,54.8,48,NO,HR System,
SC10025,48,2025,Phase_II,6,2,57.4,48,NO,HR System,False
SC10025,49,2025,Phase_II,6,2,40.3,48,NO,HR System,True
SC10025,50,2025,Phase_II,6,2,37.8,48,NO,Manual Entry,False
SC10026,44,2025,Phase_I,2,6,29.3,36,NO,Ops Control,True
SC10026,45,2025,Phase_II,7,2,50.8,48,NO,Ops Control,
SC10026,46,2025,Phase_II,5,2,51.4,48,NO,Ops Control,
SC10026,47,2025,Phase_II,2,2,53.9,48,YES,HR System,
SC10026,48,2025,Phase_II,5,2,64.5,48,YES,Manual Entry,
SC10026,49,2025,Phase_II,1,2,60.8,48,YES,Manual Entry,True
SC10026,50,2025,Phase_II,8,2,28.6,48,NO,Ops Control,True
SC10027,44,2025,Phase_I,2,6,39.1,36,YES,Ops Control,False
SC10027,45,2025,Phase_II,0,2,62.0,48,YES,Manual Entry,
SC10027,46,2025,Phase_II,5,2,67.7,48,NO,Ops Control,
SC10027,47,2025,Phase_II,7,2,54.4,48,YES,Ops Control,False
SC10027,48,2025,Phase_II,6,2,60.9,48,NO,HR System,
SC10027,49,2025,Phase_II,6,2,58.3,48,NO,Manual Entry,True
SC10027,50,2025,Phase_II,0,2,32.3,48,NO,Manual Entry,True
SC10028,44,2025,Phase_I,1,6,37.5,36,YES,HR System,False
SC10028,45,2025,Phase_II,4,2,68.4,48,NO,HR System,False
SC10028,46,2025,Phase_II,7,2,46.7,48,NO,Ops Control,
SC10028,47,2025,Phase_II,0,2,44.1,48,NO,HR System,
SC10028,48,2025,Phase_II,6,2,67.7,48,YES,Ops Control,
SC10028,49,2025,Phase_II,2,2,36.2,48,NO,HR System,
SC10028,50,2025,Phase_II,1,2,31.3,48,NO,HR System,False
SC10029,44,2025,Phase_I,8,6,45.3,36,NO,Ops Control,False
SC10029,45,2025,Phase_II,3,2,42.5,48,NO,Ops Control,False
SC10029,46,2025,Phase_II,3,2,63.4,48,NO,Manual Entry,False
SC10029,47,2025,Phase_II,8,2,46.6,48,NO,HR System,True
SC10029,48,2025,Phase_II,2,2,43.9,48,NO,HR System,False
SC10029,49,2025,Phase_II,3,2,51.7,48,NO,HR System,False
SC10029,50,2025,Phase_II,5,2,61.5,48,NO,Ops Control,
SC10030,44,2025,Phase_I,8,6,49.9,36,NO,Ops Control,
SC10030,45,2025,Phase_II,1,2,67.9,48,YES,HR System,False
SC10030,46,2025,Phase_II,8,2,63.5,48,NO,HR System,
SC10030,47,2025,Phase_II,0,2,71.2,48,YES,HR System,False
SC10030,48,2025,Phase_II,0,2,65.6,48,YES,Ops Control,
SC10030,49,2025,Phase_II,1,2,33.5,48,NO,Manual Entry,False
SC10030,50,2025,Phase_II,1,2,37.8,48,NO,Ops Control,True
SC10031,44,2025,Phase_I,6,6,71.6,36,YES,Manual Entry,False
SC10031,45,2025,Phase_II,0,2,54.3,48,YES,Manual Entry,
SC10031,46,2025,Phase_II,0,2,31.6,48,NO,Ops Control,True
SC10031,47,2025,Phase_II,4,2,39.1,48,NO,Ops Control,
SC10031,48,2025,Phase_II,0,2,33.4,48,NO,Ops Control,
SC10031,49,2025,Phase_II,4,2,52.4,48,NO,Manual Entry,True
SC10031,50,2025,Phase_II,1,2,70.4,48,YES,Ops Control,False
SC10032,44,2025,Phase_I,5,6,45.1,36,YES,HR System,
SC10032,45,2025,Phase_II,3,2,33.2,48,NO,Ops Control,
SC10032,46,2025,Phase_II,6,2,45.4,48,NO,Ops Control,True
SC10032,47,2025,Phase_II,8,2,56.8,48,NO,HR System,
SC10032,48,2025,Phase_II,5,2,40.3,48,NO,HR System,False
SC10032,49,2025,Phase_II,1,2,31.7,48,YES,Ops Control,True
SC10032,50,2025,Phase_II,4,2,33.6,48,NO,Manual Entry,True
SC10033,44,2025,Phase_I,2,6,44.1,36,YES,HR System,False
SC10033,45,2025,Phase_II,8,2,47.5,48,NO,Manual Entry,False
SC10033,46,2025,Phase_II,4,2,41.5,48,NO,Manual Entry,True
SC10033,47,2025,Phase_II,8,2,31.5,48,NO,Ops Control,False
SC10033,48,2025,Phase_II,3,2,54.5,48,NO,Ops Control,False
SC10033,49,2025,Phase_II,1,2,35.2,48,NO,HR System,True
SC10033,50,2025,Phase_II,6,2,58.7,48,NO,HR System,True
SC10034,44,2025,Phase_I,6,6,32.6,36,NO,Ops Control,True
SC10034,45,2025,Phase_II,2,2,49.9,48,YES,Ops Control,
SC10034,46,2025,Phase_II,0,2,34.9,48,NO,Ops Control,False
SC10034,47,2025,Phase_II,2,2,29.2,48,NO,HR System,True
SC10034,48,2025,Phase_II,2,2,40.4,48,NO,Manual Entry,
SC10034,49,2025,Phase_II,0,2,62.3,48,YES,Ops Control,True
SC10034,50,2025,Phase_II,0,2,59.9,48,YES,Manual Entry,True
SC10035,44,2025,Phase_I,3,6,32.1,36,NO,Ops Control,False
SC10035,45,2025,Phase_II,4,2,67.2,48,NO,Ops Control,
SC10035,46,2025,Phase_II,5,2,28.2,48,NO,Ops Control,True
SC10035,47,2025,Phase_II,4,2,55.5,48,NO,Manual Entry,True
SC10035,48,2025,Phase_II,3,2,71.3,48,NO,Manual Entry,False
SC10035,49,2025,Phase_II,8,2,51.8,48,NO,Manual Entry,False
SC10035,50,2025,Phase_II,6,2,42.1,48,NO,HR System,
SC10036,44,2025,Phase_I,1,6,38.3,36,YES,Manual Entry,True
SC10036,45,2025,Phase_II,1,2,66.1,48,YES,Manual Entry,
SC10036,46,2025,Phase_II,1,2,47.4,48,NO,Ops Control,
SC10036,47,2025,Phase_II,2,2,65.6,48,YES,Ops Control,False
SC10036,48,2025,Phase_II,2,2,43.4,48,NO,Ops Control,False
SC10036,49,2025,Phase_II,8,2,55.8,48,NO,Ops Control,False
SC10036,50,2025,Phase_II,2,2,41.8,48,NO,Ops Control,
SC10037,44,2025,Phase_I,3,6,28.2,36,NO,Manual Entry,
SC10037,45,2025,Phase_II,5,2,60.1,48,YES,HR System,True
SC10037,46,2025,Phase_II,0,2,68.8,48,YES,Ops Control,False
SC10037,47,2025,Phase_II,8,2,49.5,48,NO,Manual Entry,True
SC10037,48,2025,Phase_II,5,2,62.5,48,NO,Ops Control,True
SC10037,49,2025,Phase_II,2,2,48.7,48,YES,Manual Entry,False
SC10037,50,2025,Phase_II,3,2,58.1,48,NO,Ops Control,False
SC10038,44,2025,Phase_I,2,6,63.2,36,YES,Ops Control,False
SC10038,45,2025,Phase_II,0,2,58.1,48,YES,Ops Control,False
SC10038,46,2025,Phase_II,4,2,51.8,48,NO,Manual Entry,False
SC10038,47,2025,Phase_II,7,2,70.3,48,NO,HR System,False
SC10038,48,2025,Phase_II,3,2,42.9,48,NO,Ops Control,True
SC10038,49,2025,Phase_II,7,2,47.2,48,NO,Ops Control,
SC10038,50,2025,Phase_II,7,2,42.7,48,NO,HR System,True
SC10039,44,2025,Phase_I,3,6,60.1,36,YES,HR System,
SC10039,45,2025,Phase_II,7,2,28.4,48,NO,Manual Entry,
SC10039,46,2025,Phase_II,3,2,28.5,48,NO,HR System,False
SC10039,47,2025,Phase_II,4,2,40.6,48,NO,HR System,True
SC10039,48,2025,Phase_II,8,2,36.4,48,NO,HR System,False
SC10039,49,2025,Phase_II,1,2,51.4,48,YES,Manual Entry,False
SC10039,50,2025,Phase_II,1,2,51.7,48,YES,HR System,True
SC10040,44,2025,Phase_I,3,6,28.3,36,NO,Ops Control,True
SC10040,45,2025,Phase_II,3,2,30.9,48,NO,Manual Entry,False
SC10040,46,2025,Phase_II,0,2,33.4,48,NO,Ops Control,True
SC10040,47,2025,Phase_II,6,2,61.9,48,NO,HR System,True
SC10040,48,2025,Phase_II,3,2,57.9,48,NO,HR System,True
SC10040,49,2025,Phase_II,0,2,71.5,48,YES,HR System,True
SC10040,50,2025,Phase_II,4,2,35.5,48,NO,HR System,True
SC10041,44,2025,Phase_I,8,6,46.2,36,NO,HR System,False
SC10041,45,2025,Phase_II,4,2,38.9,48,NO,Manual Entry,True
SC10041,46,2025,Phase_II,2,2,45.6,48,NO,Ops Control,
SC10041,47,2025,Phase_II,4,2,71.6,48,NO,HR System,False
SC10041,48,2025,Phase_II,7,2,60.5,48,NO,Manual Entry,False
SC10041,49,2025,Phase_II,4,2,46.2,48,NO,HR System,
SC10041,50,2025,Phase_II,2,2,30.5,48,NO,Ops Control,False
SC10042,44,2025,Phase_I,1,6,38.3,36,YES,Manual Entry,False
SC10042,45,2025,Phase_II,1,2,52.0,48,YES,HR System,
SC10042,46,2025,Phase_II,4,2,63.3,48,NO,HR System,False
SC10042,47,2025,Phase_II,0,2,62.3,48,YES,Manual Entry,
SC10042,48,2025,Phase_II,6,2,31.3,48,NO,Ops Control,True
SC10042,49,2025,Phase_II,1,2,57.9,48,YES,Manual Entry,True
SC10042,50,2025,Phase_II,6,2,41.6,48,YES,Ops Control,False
SC10043,44,2025,Phase_I,6,6,48.5,36,YES,Manual Entry,False
SC10043,45,2025,Phase_II,3,2,70.1,48,NO,HR System,True
SC10043,46,2025,Phase_II,6,2,48.2,48,NO,HR System,True
SC10043,47,2025,Phase_II,4,2,41.7,48,NO,HR System,False
SC10043,48,2025,Phase_II,1,2,41.4,48,NO,Manual Entry,
SC10043,49,2025,Phase_II,6,2,46.4,48,NO,Ops Control,False
SC10043,50,2025,Phase_II,5,2,63.5,48,NO,Manual Entry,
SC10044,44,2025,Phase_I,8,6,58.4,36,NO,HR System,
SC10044,45,2025,Phase_II,5,2,33.2,48,NO,HR System,False
SC10044,46,2025,Phase_II,8,2,66.0,48,NO,HR System,
SC10044,47,2025,Phase_II,1,2,63.2,48,YES,HR System,True
SC10044,48,2025,Phase_II,6,2,39.0,48,NO,HR System,True
SC10044,49,2025,Phase_II,5,2,41.8,48,NO,Manual Entry,False
SC10044,50,2025,Phase_II,6,2,46.2,48,NO,Ops Control,True
SC10045,44,2025,Phase_I,0,6,53.8,36,YES,Manual Entry,
SC10045,45,2025,Phase_II,0,2,57.8,48,YES,HR System,True
SC10045,46,2025,Phase_II,1,2,58.3,48,YES,HR System,False
SC10045,47,2025,Phase_II,3,2,63.3,48,NO,Ops Control,False
SC10045,48,2025,Phase_II,4,2,53.8,48,NO,Ops Control,True
SC10045,49,2025,Phase_II,1,2,57.5,48,YES,HR System,True
SC10045,50,2025,Phase_II,4,2,31.1,48,NO,HR System,True
SC10046,44,2025,Phase_I,5,6,63.1,36,YES,Manual Entry,True
SC10046,45,2025,Phase_II,6,2,50.2,48,NO,HR System,True
SC10046,46,2025,Phase_II,0,2,61.3,48,YES,HR System,True
SC10046,47,2025,Phase_II,1,2,52.1,48,YES,HR System,
SC10046,48,2025,Phase_II,8,2,32.8,48,NO,HR System,False
SC10046,49,2025,Phase_II,1,2,62.4,48,YES,Manual Entry,True
SC10046,50,2025,Phase_II,7,2,69.5,48,NO,HR System,
SC10047,44,2025,Phase_I,8,6,29.3,36,NO,Manual Entry,False
SC10047,45,2025,Phase_II,8,2,69.0,48,NO,Manual Entry,False
SC10047,46,2025,Phase_II,7,2,69.3,48,NO,HR System,
SC10047,47,2025,Phase_II,8,2,71.6,48,NO,HR System,True
SC10047,48,2025,Phase_II,5,2,35.1,48,NO,HR System,True
SC10047,49,2025,Phase_II,5,2,51.1,48,NO,Ops Control,True
SC10047,50,2025,Phase_II,2,2,66.7,48,YES,HR System,True
SC10048,44,2025,Phase_I,4,6,59.7,36,YES,HR System,False
SC10048,45,2025,Phase_II,4,2,49.1,48,NO,HR System,False
SC10048,46,2025,Phase_II,8,2,57.9,48,NO,Ops Control,True
SC10048,47,2025,Phase_II,8,2,64.5,48,NO,Manual Entry,False
SC10048,48,2025,Phase_II,3,2,70.5,48,NO,Ops Control,False
SC10048,49,2025,Phase_II,4,2,49.1,48,NO,HR System,False
SC10048,50,2025,Phase_II,8,2,43.4,48,NO,Manual Entry,True
SC10049,44,2025,Phase_I,7,6,55.4,36,NO,Ops Control,
SC10049,45,2025,Phase_II,2,2,33.2,48,NO,Manual Entry,False
SC10049,46,2025,Phase_II,3,2,61.7,48,NO,Manual Entry,
SC10049,47,2025,Phase_II,3,2,67.9,48,NO,Ops Control,
SC10049,48,2025,Phase_II,2,2,32.3,48,NO,Manual Entry,False
SC10049,49,2025,Phase_II,1,2,48.9,48,YES,Manual Entry,True
SC10049,50,2025,Phase_II,2,2,59.6,48,YES,Ops Control,True
SC10050,44,2025,Phase_I,2,6,29.4,36,NO,Manual Entry,False
SC10050,45,2025,Phase_II,6,2,41.5,48,NO,HR System,False
SC10050,46,2025,Phase_II,2,2,31.7,48,NO,Manual Entry,False
SC10050,47,2025,Phase_II,3,2,45.4,48,NO,HR System,False
SC10050,48,2025,Phase_II,6,2,45.1,48,NO,Manual Entry,True
SC10050,49,2025,Phase_II,2,2,50.0,48,YES,Ops Control,True
SC10050,50,2025,Phase_II,3,2,70.8,48,NO,Manual Entry,False
SC10051,44,2025,Phase_I,5,6,60.6,36,YES,Ops Control,
SC10051,45,2025,Phase_II,7,2,58.5,48,NO,HR System,False
SC10051,46,2025,Phase_II,4,2,63.4,48,NO,Ops Control,
SC10051,47,2025,Phase_II,0,2,41.1,48,NO,Ops Control,True
SC10051,48,2025,Phase_II,6,2,34.7,48,NO,HR System,True
SC10051,49,2025,Phase_II,6,2,59.2,48,NO,HR System,False
SC10051,50,2025,Phase_II,0,2,32.2,48,NO,HR System,False
SC10052,44,2025,Phase_I,8,6,53.4,36,NO,Ops Control,
SC10052,45,2025,Phase_II,0,2,37.7,48,NO,Ops Control,False
SC10052,46,2025,Phase_II,6,2,59.0,48,NO,Ops Control,False
SC10052,47,2025,Phase_II,0,2,67.5,48,YES,Manual Entry,False
SC10052,48,2025,Phase_II,6,2,50.4,48,NO,HR System,
SC10052,49,2025,Phase_II,1,2,62.1,48,YES,Ops Control,
SC10052,50,2025,Phase_II,2,2,33.1,48,NO,HR System,
SC10053,44,2025,Phase_I,6,6,60.8,36,YES,Ops Control,False
SC10053,45,2025,Phase_II,5,2,50.2,48,NO,Manual Entry,
SC10053,46,2025,Phase_II,4,2,41.7,48,NO,Manual Entry,
SC10053,47,2025,Phase_II,4,2,46.8,48,NO,HR System,False
SC10053,48,2025,Phase_II,3,2,58.3,48,NO,HR System,True
SC10053,49,2025,Phase_II,6,2,59.2,48,NO,Manual Entry,
SC10053,50,2025,Phase_II,5,2,55.7,48,NO,Ops Control,
SC10054,44,2025,Phase_I,2,6,42.4,36,YES,HR System,False
SC10054,45,2025,Phase_II,3,2,55.6,48,NO,HR System,
SC10054,46,2025,Phase_II,2,2,65.9,48,YES,HR System,False
SC10054,47,2025,Phase_II,0,2,29.1,48,NO,Ops Control,True
SC10054,48,2025,Phase_II,8,2,33.4,48,YES,HR System,True
SC10054,49,2025,Phase_II,6,2,55.2,48,NO,Manual Entry,False
SC10054,50,2025,Phase_II,3,2,43.1,48,NO,HR System,False
SC10055,44,2025,Phase_I,2,6,63.4,36,YES,Ops Control,False
SC10055,45,2025,Phase_II,0,2,39.2,48,NO,HR System,False
SC10055,46,2025,Phase_II,1,2,71.1,48,YES,Manual Entry,
