incident_id,airline,incident_date,incident_type,severity,flights_affected,resolution_hrs,reported_to_dgca,news_coverage,source,reported_to_dgca_missing_flag
INC-00076,IndiGo,2025-11-11,PASSENGER_COMPLAINT,MEDIUM,37,52.3,False,True,AIRLINE_REPORT,False
INC-00077,AkasaAir,2025-12-19,SLOT_MISS,LOW,36,30.5,False,False,DGCA_FEED,False
INC-00078,AirIndia,2025-11-07,CREW_SHORTAGE,CRITICAL,14,70.4,True,False,AIRLINE_REPORT,False
INC-00079,AirIndia,2025-12-15,SLOT_MISS,MEDIUM,25,33.0,True,True,DGCA_FEED,False
INC-00080,SpiceJet,2025-11-02,BAGGAGE,MEDIUM,9,55.2,True,False,NEWS_SCRAPE,False
INC-00081,AirIndia,2025-11-09,ATC_DELAY,MEDIUM,28,26.7,,True,NEWS_SCRAPE,True
INC-00082,IndiGo,2025-12-23,TECHNICAL,HIGH,2,55.1,False,False,DGCA_FEED,False
INC-00083,SpiceJet,2025-12-28,CREW_SHORTAGE,HIGH,16,20.8,,True,DGCA_FEED,True
INC-00084,AirIndia,2025-12-23,ATC_DELAY,HIGH,4,63.9,,False,NEWS_SCRAPE,True
INC-00085,IndiGo,2025-12-31,ATC_DELAY,CRITICAL,35,28.9,False,False,NEWS_SCRAPE,False
INC-00086,AkasaAir,2025-12-15,BAGGAGE,CRITICAL,30,43.1,True,True,DGCA_FEED,False
INC-00087,SpiceJet,2025-11-29,ATC_DELAY,CRITICAL,22,44.4,False,True,NEWS_SCRAPE,False
INC-00088,SpiceJet,2025-12-22,ATC_DELAY,LOW,44,21.6,False,False,AIRLINE_REPORT,False
INC-00089,IndiGo,2025-12-31,SLOT_MISS,MEDIUM,20,12.9,True,False,AIRLINE_REPORT,False
INC-00090,SpiceJet,2025-12-30,CREW_SHORTAGE,LOW,4,33.6,,False,AIRLINE_REPORT,True
INC-00091,AirIndia,2025-11-30,TECHNICAL,LOW,39,59.8,,True,NEWS_SCRAPE,True
INC-00092,AkasaAir,2025-12-12,TECHNICAL,HIGH,9,34.6,True,False,DGCA_FEED,False
INC-00093,SpiceJet,2025-12-04,CREW_SHORTAGE,CRITICAL,28,6.7,,True,AIRLINE_REPORT,True
INC-00094,AkasaAir,2025-11-24,SLOT_MISS,MEDIUM,44,69.4,False,True,NEWS_SCRAPE,False
INC-00095,Vistara,2025-12-28,CREW_SHORTAGE,LOW,19,42.6,,False,AIRLINE_REPORT,True
INC-00096,AirIndia,2025-12-23,TECHNICAL,LOW,27,27.9,False,False,DGCA_FEED,False
INC-00097,Vistara,2025-11-17,CREW_SHORTAGE,HIGH,36,59.3,False,True,AIRLINE_REPORT,False
INC-00098,Vistara,2025-11-23,BAGGAGE,MEDIUM,9,62.1,,False,DGCA_FEED,True
INC-00099,AirIndia,2025-12-23,PASSENGER_COMPLAINT,LOW,30,41.2,,True,NEWS_SCRAPE,True
INC-00100,IndiGo,2025-12-29,BAGGAGE,MEDIUM,32,2.4,True,True,NEWS_SCRAPE,False
INC-00101,IndiGo,2025-12-28,CREW_SHORTAGE,HIGH,40,69.3,False,True,NEWS_SCRAPE,False
INC-00102,AirIndia,2025-12-17,PASSENGER_COMPLAINT,CRITICAL,38,26.8,,True,DGCA_FEED,True
INC-00103,SpiceJet,2025-12-28,SLOT_MISS,MEDIUM,28,4.3,True,False,NEWS_SCRAPE,False
INC-00104,SpiceJet,2025-12-04,BAGGAGE,HIGH,17,42.8,False,False,DGCA_FEED,False
INC-00105,Vistara,2025-11-27,ATC_DELAY,LOW,27,28.8,False,False,DGCA_FEED,False
INC-00106,AirIndia,2025-11-29,BAGGAGE,CRITICAL,1,38.4,,False,DGCA_FEED,True
INC-00107,SpiceJet,2025-12-28,WEATHER,LOW,19,59.8,False,False,AIRLINE_REPORT,False
INC-00108,IndiGo,2025-12-10,PASSENGER_COMPLAINT,HIGH,21,61.7,,False,NEWS_SCRAPE,True
INC-00109,Vistara,2025-12-21,SLOT_MISS,HIGH,13,10.6,,False,AIRLINE_REPORT,True
INC-00110,AirIndia,2025-11-04,WEATHER,LOW,42,38.9,False,False,AIRLINE_REPORT,False
INC-00111,AkasaAir,2025-12-11,SLOT_MISS,CRITICAL,44,16.2,False,False,NEWS_SCRAPE,False
INC-00112,AkasaAir,2025-11-12,ATC_DELAY,HIGH,42,34.9,True,False,AIRLINE_REPORT,False
INC-00113,SpiceJet,2025-11-02,TECHNICAL,HIGH,29,59.6,False,False,DGCA_FEED,False
INC-00114,SpiceJet,2025-12-27,PASSENGER_COMPLAINT,CRITICAL,27,17.0,False,False,AIRLINE_REPORT,False
INC-00115,AirIndia,2025-12-29,ATC_DELAY,CRITICAL,38,67.4,,True,NEWS_SCRAPE,True
INC-00116,Vistara,2025-11-17,TECHNICAL,LOW,12,45.7,True,True,AIRLINE_REPORT,False
INC-00117,AirIndia,2025-11-08,TECHNICAL,LOW,11,38.4,,True,AIRLINE_REPORT,True
INC-00118,IndiGo,2025-12-08,CREW_SHORTAGE,HIGH,40,46.9,True,True,NEWS_SCRAPE,False
INC-00119,AirIndia,2025-11-27,TECHNICAL,MEDIUM,31,51.9,,True,AIRLINE_REPORT,True
INC-00120,AirIndia,2025-11-26,SLOT_MISS,MEDIUM,28,20.9,False,True,NEWS_SCRAPE,False
INC-00121,AkasaAir,2025-12-04,BAGGAGE,LOW,34,56.7,,False,AIRLINE_REPORT,True
INC-00122,AirIndia,2025-11-03,SLOT_MISS,MEDIUM,7,10.1,,False,NEWS_SCRAPE,True
INC-00123,SpiceJet,2025-12-19,BAGGAGE,CRITICAL,16,22.9,True,False,DGCA_FEED,False
INC-00124,SpiceJet,2025-12-19,PASSENGER_COMPLAINT,HIGH,37,63.9,,True,DGCA_FEED,True
INC-00125,AirIndia,2025-12-20,BAGGAGE,LOW,40,67.6,,True,NEWS_SCRAPE,True
INC-00126,AkasaAir,2025-12-17,CREW_SHORTAGE,LOW,1,11.9,False,False,DGCA_FEED,False
INC-00127,IndiGo,2025-12-16,CREW_SHORTAGE,MEDIUM,18,14.9,True,True,NEWS_SCRAPE,False
INC-00128,IndiGo,2025-11-25,BAGGAGE,HIGH,20,4.8,True,True,DGCA_FEED,False
INC-00129,AkasaAir,2025-12-03,SLOT_MISS,HIGH,40,57.8,True,True,AIRLINE_REPORT,False
INC-00130,IndiGo,2025-11-14,WEATHER,CRITICAL,30,68.4,,True,AIRLINE_REPORT,True
INC-00131,IndiGo,2025-12-18,TECHNICAL,CRITICAL,44,28.1,,False,DGCA_FEED,True
INC-00132,SpiceJet,2025-12-17,WEATHER,LOW,45,59.8,,True,NEWS_SCRAPE,True
INC-00133,IndiGo,2025-12-01,ATC_DELAY,HIGH,19,29.6,False,True,NEWS_SCRAPE,False
INC-00134,Vistara,2025-11-05,ATC_DELAY,HIGH,27,66.6,True,True,DGCA_FEED,False
INC-00135,IndiGo,2025-12-17,BAGGAGE,MEDIUM,2,59.8,True,True,NEWS_SCRAPE,False
INC-00136,AkasaAir,2025-12-28,CREW_SHORTAGE,CRITICAL,31,20.3,,True,AIRLINE_REPORT,True
INC-00137,AirIndia,2025-12-11,SLOT_MISS,CRITICAL,2,55.6,,True,NEWS_SCRAPE,True
INC-00138,AirIndia,2025-12-28,ATC_DELAY,CRITICAL,34,25.4,True,False,AIRLINE_REPORT,False
INC-00139,IndiGo,2025-12-25,CREW_SHORTAGE,HIGH,18,5.3,False,True,NEWS_SCRAPE,False
INC-00140,SpiceJet,2025-11-18,PASSENGER_COMPLAINT,MEDIUM,22,31.5,True,True,AIRLINE_REPORT,False
INC-00141,AirIndia,2025-12-28,SLOT_MISS,LOW,38,27.0,,False,NEWS_SCRAPE,True
INC-00142,IndiGo,2025-11-16,SLOT_MISS,LOW,10,14.7,,True,NEWS_SCRAPE,True
INC-00143,SpiceJet,2025-12-15,PASSENGER_COMPLAINT,LOW,19,39.4,,True,NEWS_SCRAPE,True
INC-00144,SpiceJet,2025-12-21,TECHNICAL,LOW,5,9.4,,True,NEWS_SCRAPE,True
INC-00145,IndiGo,2025-11-13,PASSENGER_COMPLAINT,CRITICAL,18,29.6,True,False,NEWS_SCRAPE,False
INC-00146,SpiceJet,2025-12-03,PASSENGER_COMPLAINT,MEDIUM,18,21.2,True,False,NEWS_SCRAPE,False
INC-00147,AkasaAir,2025-11-09,BAGGAGE,CRITICAL,3,18.0,,True,DGCA_FEED,True
INC-00148,AirIndia,2025-11-28,PASSENGER_COMPLAINT,LOW,1,18.6,True,True,DGCA_FEED,False
INC-00149,IndiGo,2025-11-02,WEATHER,CRITICAL,26,18.2,True,True,AIRLINE_REPORT,False
INC-00150,AirIndia,2025-11-08,TECHNICAL,LOW,20,64.9,True,True,AIRLINE_REPORT,False
INC-00151,AkasaAir,2025-12-19,ATC_DELAY,MEDIUM,45,47.3,,False,AIRLINE_REPORT,True
INC-00152,Vistara,2025-11-06,PASSENGER_COMPLAINT,HIGH,34,60.1,,False,AIRLINE_REPORT,True
INC-00153,AirIndia,2025-12-03,CREW_SHORTAGE,HIGH,16,44.3,True,False,AIRLINE_REPORT,False
INC-00154,AirIndia,2025-12-01,WEATHER,MEDIUM,14,43.9,True,False,DGCA_FEED,False
INC-00155,IndiGo,2025-11-08,BAGGAGE,LOW,44,20.3,False,True,AIRLINE_REPORT,False
INC-00156,AirIndia,2025-11-14,TECHNICAL,LOW,36,43.0,,True,AIRLINE_REPORT,True
INC-00157,IndiGo,2025-12-20,ATC_DELAY,LOW,18,55.9,False,True,DGCA_FEED,False
INC-00158,AirIndia,2025-11-03,PASSENGER_COMPLAINT,LOW,25,64.2,,False,AIRLINE_REPORT,True
INC-00159,SpiceJet,2025-11-06,ATC_DELAY,MEDIUM,35,22.2,True,True,DGCA_FEED,False
INC-00160,IndiGo,2025-11-05,ATC_DELAY,MEDIUM,45,8.8,False,False,DGCA_FEED,False
INC-00161,SpiceJet,2025-11-21,ATC_DELAY,LOW,38,44.1,False,True,AIRLINE_REPORT,False
INC-00162,Vistara,2025-12-18,SLOT_MISS,CRITICAL,41,15.7,False,False,NEWS_SCRAPE,False
INC-00163,SpiceJet,2025-11-07,TECHNICAL,MEDIUM,28,5.8,,False,AIRLINE_REPORT,True
INC-00164,SpiceJet,2025-12-06,WEATHER,LOW,26,49.3,False,True,AIRLINE_REPORT,False
INC-00165,SpiceJet,2025-12-18,PASSENGER_COMPLAINT,CRITICAL,18,56.9,False,False,NEWS_SCRAPE,False
INC-00166,Vistara,2025-12-20,BAGGAGE,LOW,11,27.6,False,True,NEWS_SCRAPE,False
INC-00167,AirIndia,2025-12-09,TECHNICAL,LOW,35,57.7,True,False,AIRLINE_REPORT,False
INC-00168,AirIndia,2025-12-08,CREW_SHORTAGE,HIGH,8,20.9,True,True,NEWS_SCRAPE,False
INC-00169,IndiGo,2025-11-14,BAGGAGE,CRITICAL,38,71.8,False,True,NEWS_SCRAPE,False
INC-00170,AirIndia,2025-12-09,WEATHER,MEDIUM,10,58.0,False,False,DGCA_FEED,False
INC-00171,SpiceJet,2025-12-01,TECHNICAL,LOW,4,14.6,,False,AIRLINE_REPORT,True
INC-00172,AirIndia,2025-11-05,TECHNICAL,HIGH,44,59.2,True,True,NEWS_SCRAPE,False
INC-00173,Vistara,2025-11-01,TECHNICAL,LOW,22,59.6,,True,DGCA_FEED,True
INC-00174,IndiGo,2025-12-02,ATC_DELAY,LOW,36,35.4,,True,AIRLINE_REPORT,True
INC-00175,SpiceJet,2025-12-03,PASSENGER_COMPLAINT,MEDIUM,15,20.9,True,False,NEWS_SCRAPE,False
INC-00176,SpiceJet,2025-12-13,ATC_DELAY,CRITICAL,6,22.5,False,False,DGCA_FEED,False
INC-00177,SpiceJet,2025-11-20,CREW_SHORTAGE,MEDIUM,31,4.1,False,True,NEWS_SCRAPE,False
INC-00178,Vistara,2025-11-29,ATC_DELAY,HIGH,33,53.5,False,True,DGCA_FEED,False
INC-00179,Vistara,2025-11-13,WEATHER,HIGH,35,8.0,True,False,NEWS_SCRAPE,False
INC-00180,SpiceJet,2025-11-28,TECHNICAL,CRITICAL,28,38.2,,False,DGCA_FEED,True
INC-00181,IndiGo,2025-11-16,PASSENGER_COMPLAINT,LOW,6,71.4,True,False,AIRLINE_REPORT,False
INC-00182,IndiGo,2025-12-10,TECHNICAL,MEDIUM,33,42.9,True,False,NEWS_SCRAPE,False
INC-00183,IndiGo,2025-11-19,CREW_SHORTAGE,LOW,22,33.3,False,False,NEWS_SCRAPE,False
INC-00184,IndiGo,2025-11-12,BAGGAGE,LOW,10,70.2,True,False,DGCA_FEED,False
INC-00185,AkasaAir,2025-12-03,SLOT_MISS,HIGH,39,26.7,False,False,DGCA_FEED,False
INC-00186,SpiceJet,2025-12-16,BAGGAGE,HIGH,6,42.2,,True,AIRLINE_REPORT,True
INC-00187,AirIndia,2025-11-20,BAGGAGE,CRITICAL,36,2.3,,True,DGCA_FEED,True
INC-00188,AirIndia,2025-12-04,CREW_SHORTAGE,LOW,25,13.6,False,False,AIRLINE_REPORT,False
INC-00189,IndiGo,2025-11-07,CREW_SHORTAGE,CRITICAL,23,19.6,,True,AIRLINE_REPORT,True
INC-00190,IndiGo,2025-11-06,PASSENGER_COMPLAINT,CRITICAL,40,38.6,,False,AIRLINE_REPORT,True
INC-00191,SpiceJet,2025-11-15,WEATHER,MEDIUM,36,67.1,,True,AIRLINE_REPORT,True
INC-00192,IndiGo,2025-12-03,WEATHER,LOW,45,48.0,True,False,NEWS_SCRAPE,False
INC-00193,Vistara,2025-11-04,SLOT_MISS,MEDIUM,40,59.7,,True,NEWS_SCRAPE,True
INC-00194,AkasaAir,2025-11-15,SLOT_MISS,HIGH,38,1.7,True,False,NEWS_SCRAPE,False
INC-00195,AirIndia,2025-12-08,PASSENGER_COMPLAINT,CRITICAL,25,61.2,False,False,AIRLINE_REPORT,False
INC-00196,IndiGo,2025-12-25,CREW_SHORTAGE,HIGH,15,47.7,True,True,AIRLINE_REPORT,False
INC-00197,AkasaAir,2025-12-11,CREW_SHORTAGE,LOW,6,55.0,False,True,AIRLINE_REPORT,False
INC-00198,Vistara,2025-12-06,PASSENGER_COMPLAINT,MEDIUM,21,71.6,False,True,AIRLINE_REPORT,False
INC-00199,SpiceJet,2025-11-07,SLOT_MISS,LOW,2,46.6,True,True,DGCA_FEED,False
INC-00200,AirIndia,2025-11-22,PASSENGER_COMPLAINT,CRITICAL,25,64.5,,False,AIRLINE_REPORT,True
INC-00201,Vistara,2025-12-17,BAGGAGE,HIGH,39,71.3,True,False,AIRLINE_REPORT,False
INC-00202,Vistara,2025-11-23,SLOT_MISS,CRITICAL,23,9.0,True,True,AIRLINE_REPORT,False
INC-00203,AkasaAir,2025-12-10,SLOT_MISS,CRITICAL,4,60.3,,False,NEWS_SCRAPE,True
INC-00204,SpiceJet,2025-11-25,PASSENGER_COMPLAINT,LOW,42,35.0,,False,NEWS_SCRAPE,True
INC-00205,IndiGo,2025-11-21,CREW_SHORTAGE,CRITICAL,17,26.7,,False,DGCA_FEED,True
INC-00206,AkasaAir,2025-12-18,PASSENGER_COMPLAINT,HIGH,33,61.3,True,True,NEWS_SCRAPE,False
INC-00207,Vistara,2025-11-23,SLOT_MISS,HIGH,36,51.6,True,True,NEWS_SCRAPE,False
INC-00208,SpiceJet,2025-12-25,CREW_SHORTAGE,CRITICAL,32,42.2,,False,AIRLINE_REPORT,True
INC-00209,AkasaAir,2025-11-13,ATC_DELAY,HIGH,40,46.9,True,False,DGCA_FEED,False
INC-00210,SpiceJet,2025-12-15,CREW_SHORTAGE,LOW,14,23.5,,True,AIRLINE_REPORT,True
INC-00211,SpiceJet,2025-11-08,ATC_DELAY,HIGH,31,26.5,False,True,AIRLINE_REPORT,False
INC-00212,SpiceJet,2025-12-14,CREW_SHORTAGE,MEDIUM,25,64.6,,False,AIRLINE_REPORT,True
INC-00213,Vistara,2025-12-08,SLOT_MISS,CRITICAL,26,18.3,True,False,AIRLINE_REPORT,False
INC-00214,AirIndia,2025-11-22,CREW_SHORTAGE,MEDIUM,35,36.4,True,True,AIRLINE_REPORT,False
INC-00215,Vistara,2025-11-16,WEATHER,CRITICAL,25,21.8,,False,DGCA_FEED,True
INC-00216,IndiGo,2025-11-29,SLOT_MISS,MEDIUM,24,65.7,True,False,NEWS_SCRAPE,False
INC-00217,SpiceJet,2025-12-12,ATC_DELAY,LOW,11,57.9,False,True,AIRLINE_REPORT,False
INC-00218,Vistara,2025-11-02,PASSENGER_COMPLAINT,HIGH,40,28.6,False,False,NEWS_SCRAPE,False
INC-00219,AkasaAir,2025-11-24,CREW_SHORTAGE,CRITICAL,25,20.9,,True,AIRLINE_REPORT,True
INC-00220,Vistara,2025-11-07,TECHNICAL,MEDIUM,27,59.4,False,True,DGCA_FEED,False
INC-00221,IndiGo,2025-12-02,WEATHER,MEDIUM,44,67.4,True,False,AIRLINE_REPORT,False
INC-00222,AkasaAir,2025-12-17,PASSENGER_COMPLAINT,LOW,6,40.6,,False,NEWS_SCRAPE,True
INC-00223,Vistara,2025-12-17,BAGGAGE,MEDIUM,38,22.9,False,True,NEWS_SCRAPE,False
INC-00224,IndiGo,2025-11-27,TECHNICAL,LOW,1,8.6,,False,AIRLINE_REPORT,True
INC-00225,Vistara,2025-12-26,PASSENGER_COMPLAINT,HIGH,6,16.8,True,False,DGCA_FEED,False
INC-00226,AirIndia,2025-11-28,PASSENGER_COMPLAINT,CRITICAL,45,51.8,,True,NEWS_SCRAPE,True
INC-00227,AkasaAir,2025-11-28,ATC_DELAY,MEDIUM,40,40.5,,True,AIRLINE_REPORT,True
INC-00228,Vistara,2025-12-21,SLOT_MISS,CRITICAL,45,19.2,,False,DGCA_FEED,True
INC-00229,AirIndia,2025-11-01,WEATHER,MEDIUM,19,8.5,,True,DGCA_FEED,True
INC-00230,IndiGo,2025-11-30,TECHNICAL,CRITICAL,34,35.4,True,True,NEWS_SCRAPE,False
INC-00231,Vistara,2025-12-15,SLOT_MISS,HIGH,10,67.8,True,True,AIRLINE_REPORT,False
INC-00232,AkasaAir,2025-11-20,SLOT_MISS,MEDIUM,22,14.2,True,True,DGCA_FEED,False
INC-00233,SpiceJet,2025-11-29,WEATHER,MEDIUM,13,44.0,False,False,NEWS_SCRAPE,False
INC-00234,Vistara,2025-11-12,SLOT_MISS,CRITICAL,30,6.8,,False,NEWS_SCRAPE,True
INC-00235,AirIndia,2025-11-11,SLOT_MISS,HIGH,6,56.7,True,False,AIRLINE_REPORT,False
INC-00236,AkasaAir,2025-11-03,TECHNICAL,LOW,24,10.4,,True,NEWS_SCRAPE,True
INC-00237,SpiceJet,2025-12-16,CREW_SHORTAGE,HIGH,33,67.3,False,True,AIRLINE_REPORT,False
INC-00238,Vistara,2025-12-28,PASSENGER_COMPLAINT,HIGH,28,57.0,True,True,DGCA_FEED,False
INC-00239,AkasaAir,2025-11-06,WEATHER,MEDIUM,34,25.3,,False,DGCA_FEED,True
INC-00240,AkasaAir,2025-12-03,WEATHER,HIGH,18,22.9,False,False,DGCA_FEED,False
INC-00241,AirIndia,2025-12-11,ATC_DELAY,CRITICAL,9,1.3,False,True,NEWS_SCRAPE,False
