station,obs_datetime,metar_raw,visibility_m,weather_code,wind_dir_deg,wind_spd_kt,is_fog,low_vis,temp_c,dew_point_c,qnh_hpa,data_source,data_source_missing_flag
VABB,2025-11-03T09:00:00,VABB 030900Z 12011KT 9999 NIL ////// Q1013,9999,NIL,120,11,0,0,14.0,6.8,1012,METAR_AUTO,False
VABB,2025-11-03T12:00:00,VABB 031200Z 31019KT 9999 HZ ////// Q1013,9999,HZ,310,19,0,0,21.5,19.9,1019,METAR_AUTO,False
VABB,2025-11-03T15:00:00,VABB 031500Z 34014KT 9999 NIL ////// Q1013,9999,NIL,340,14,0,0,22.2,13.2,1020,METAR_AUTO,False
VABB,2025-11-03T18:00:00,VABB 031800Z 00017KT 6000 NIL ////// Q1013,6000,NIL,0,17,0,0,27.0,12.5,1016,METAR_AUTO,False
VABB,2025-11-03T21:00:00,VABB 032100Z 08017KT 6000 NIL ////// Q1013,6000,NIL,80,17,0,0,18.4,5.8,1009,METAR_AUTO,False
VABB,2025-11-04T00:00:00,VABB 040000Z 19005KT 9999 HZ ////// Q1013,9999,HZ,190,5,0,0,17.9,10.9,1024,METAR_AUTO,False
VABB,2025-11-04T03:00:00,VABB 040300Z 35016KT 9999 HZ ////// Q1013,9999,HZ,350,16,0,0,8.3,5.3,1023,METAR_AUTO,False
VABB,2025-11-04T06:00:00,VABB 040600Z 14009KT 9999 NIL ////// Q1013,9999,NIL,140,9,0,0,17.7,16.0,1012,METAR_AUTO,False
VABB,2025-11-04T09:00:00,VABB 040900Z 32011KT 9999 NIL ////// Q1013,9999,NIL,320,11,0,0,10.0,15.3,1023,METAR_AUTO,False
VABB,2025-11-04T12:00:00,VABB 041200Z 03019KT 9999 NIL ////// Q1013,9999,NIL,30,19,0,0,8.2,6.4,1023,METAR_AUTO,False
VABB,2025-11-04T15:00:00,VABB 041500Z 04016KT 3000 HZ ////// Q1013,3000,HZ,40,16,0,0,21.4,19.7,1017,METAR_AUTO,False
VABB,2025-11-04T18:00:00,VABB 041800Z 11014KT 9999 NIL ////// Q1013,9999,NIL,110,14,0,0,21.3,19.8,1020,METAR_AUTO,False
VABB,2025-11-04T21:00:00,VABB 042100Z 22013KT 9999 NIL ////// Q1013,9999,NIL,220,13,0,0,11.8,9.3,1019,METAR_AUTO,False
VABB,2025-11-05T00:00:00,VABB 050000Z 33009KT 9999 HZ ////// Q1013,9999,HZ,330,9,0,0,13.4,17.7,1015,METAR_AUTO,False
VABB,2025-11-05T03:00:00,VABB 050300Z 07018KT 9999 HZ ////// Q1013,9999,HZ,70,18,0,0,23.5,19.7,1005,METAR_AUTO,False
VABB,2025-11-05T06:00:00,VABB 050600Z 00010KT 9999 NIL ////// Q1013,9999,NIL,0,10,0,0,16.7,16.8,1013,METAR_AUTO,False
VABB,2025-11-05T09:00:00,VABB 050900Z 11019KT 9999 HZ ////// Q1013,9999,HZ,110,19,0,0,12.5,9.7,1015,,True
VABB,2025-11-05T12:00:00,VABB 051200Z 00004KT 9999 HZ ////// Q1013,9999,HZ,0,4,0,0,27.8,5.5,1023,METAR_AUTO,False
VABB,2025-11-05T15:00:00,VABB 051500Z 24005KT 9999 HZ ////// Q1013,9999,HZ,240,5,0,0,20.5,10.5,1025,,True
VABB,2025-11-05T18:00:00,VABB 051800Z 01014KT 9999 NIL ////// Q1013,9999,NIL,10,14,0,0,12.2,11.2,1017,METAR_AUTO,False
VABB,2025-11-05T21:00:00,VABB 052100Z 15010KT 3000 HZ ////// Q1013,3000,HZ,150,10,0,0,13.9,5.8,1016,METAR_AUTO,False
VABB,2025-11-06T00:00:00,VABB 060000Z 01017KT 9999 NIL ////// Q1013,9999,NIL,10,17,0,0,16.4,17.2,1012,METAR_AUTO,False
VABB,2025-11-06T03:00:00,VABB 060300Z 32019KT 9999 NIL ////// Q1013,9999,NIL,320,19,0,0,20.2,10.4,1013,,True
VABB,2025-11-06T06:00:00,VABB 060600Z 06015KT 9999 NIL ////// Q1013,9999,NIL,60,15,0,0,11.7,10.1,1011,METAR_AUTO,False
VABB,2025-11-06T09:00:00,VABB 060900Z 08020KT 9999 NIL ////// Q1013,9999,NIL,80,20,0,0,14.7,12.0,1015,,True
VABB,2025-11-06T12:00:00,VABB 061200Z 01004KT 9999 HZ ////// Q1013,9999,HZ,10,4,0,0,16.9,6.3,1014,METAR_AUTO,False
VABB,2025-11-06T15:00:00,VABB 061500Z 07019KT 3000 NIL ////// Q1013,3000,NIL,70,19,0,0,20.5,17.6,1022,,True
VABB,2025-11-06T18:00:00,VABB 061800Z 07016KT 9999 NIL ////// Q1013,9999,NIL,70,16,0,0,8.6,17.6,1006,METAR_AUTO,False
VABB,2025-11-06T21:00:00,VABB 062100Z 28012KT 3000 HZ ////// Q1013,3000,HZ,280,12,0,0,22.7,15.3,1013,METAR_AUTO,False
VABB,2025-11-07T00:00:00,VABB 070000Z 02002KT 9999 NIL ////// Q1013,9999,NIL,20,2,0,0,13.1,13.8,1015,,True
VABB,2025-11-07T03:00:00,VABB 070300Z 05002KT 9999 HZ ////// Q1013,9999,HZ,50,2,0,0,16.0,12.7,1017,,True
VABB,2025-11-07T06:00:00,VABB 070600Z 25003KT 9999 NIL ////// Q1013,9999,NIL,250,3,0,0,13.3,14.0,1020,METAR_AUTO,False
VABB,2025-11-07T09:00:00,VABB 070900Z 08011KT 9999 HZ ////// Q1013,9999,HZ,80,11,0,0,20.8,6.0,1018,METAR_AUTO,False
VABB,2025-11-07T12:00:00,VABB 071200Z 12010KT 3000 NIL ////// Q1013,3000,NIL,120,10,0,0,17.4,12.5,1015,METAR_AUTO,False
VABB,2025-11-07T15:00:00,VABB 071500Z 21006KT 9999 NIL ////// Q1013,9999,NIL,210,6,0,0,13.9,9.7,1007,METAR_AUTO,False
VABB,2025-11-07T18:00:00,VABB 071800Z 11020KT 6000 HZ ////// Q1013,6000,HZ,110,20,0,0,12.3,11.9,1010,,True
VABB,2025-11-07T21:00:00,VABB 072100Z 25017KT 6000 NIL ////// Q1013,6000,NIL,250,17,0,0,14.7,7.6,1014,METAR_AUTO,False
VABB,2025-11-08T00:00:00,VABB 080000Z 22005KT 9999 NIL ////// Q1013,9999,NIL,220,5,0,0,20.9,7.0,1025,METAR_AUTO,False
VABB,2025-11-08T03:00:00,VABB 080300Z 28008KT 3000 NIL ////// Q1013,3000,NIL,280,8,0,0,8.9,9.7,1025,METAR_AUTO,False
VABB,2025-11-08T06:00:00,VABB 080600Z 30014KT 9999 NIL ////// Q1013,9999,NIL,300,14,0,0,14.4,7.9,1011,METAR_AUTO,False
VABB,2025-11-08T09:00:00,VABB 080900Z 26009KT 3000 NIL ////// Q1013,3000,NIL,260,9,0,0,11.7,13.2,1016,METAR_AUTO,False
VABB,2025-11-08T12:00:00,VABB 081200Z 13007KT 9999 NIL ////// Q1013,9999,NIL,130,7,0,0,27.6,16.0,1005,,True
VABB,2025-11-08T15:00:00,VABB 081500Z 16011KT 6000 NIL ////// Q1013,6000,NIL,160,11,0,0,14.5,8.2,1015,METAR_AUTO,False
VABB,2025-11-08T18:00:00,VABB 081800Z 01012KT 9999 NIL ////// Q1013,9999,NIL,10,12,0,0,13.8,8.8,1025,METAR_AUTO,False
VABB,2025-11-08T21:00:00,VABB 082100Z 31019KT 9999 NIL ////// Q1013,9999,NIL,310,19,0,0,24.4,13.2,1015,METAR_AUTO,False
VABB,2025-11-09T00:00:00,VABB 090000Z 08009KT 3000 NIL ////// Q1013,3000,NIL,80,9,0,0,22.5,12.0,1024,METAR_AUTO,False
VABB,2025-11-09T03:00:00,VABB 090300Z 28011KT 6000 HZ ////// Q1013,6000,HZ,280,11,0,0,8.7,12.8,1018,METAR_AUTO,False
VABB,2025-11-09T06:00:00,VABB 090600Z 00015KT 9999 NIL ////// Q1013,9999,NIL,0,15,0,0,21.7,9.6,1024,METAR_AUTO,False
VABB,2025-11-09T09:00:00,VABB 090900Z 27005KT 3000 HZ ////// Q1013,3000,HZ,270,5,0,0,11.5,7.0,1005,METAR_AUTO,False
VABB,2025-11-09T12:00:00,VABB 091200Z 06018KT 9999 NIL ////// Q1013,9999,NIL,60,18,0,0,20.2,6.7,1015,METAR_AUTO,False
VABB,2025-11-09T15:00:00,VABB 091500Z 34006KT 9999 HZ ////// Q1013,9999,HZ,340,6,0,0,17.2,15.1,1007,METAR_AUTO,False
VABB,2025-11-09T18:00:00,VABB 091800Z 05007KT 6000 NIL ////// Q1013,6000,NIL,50,7,0,0,17.6,15.6,1014,METAR_AUTO,False
VABB,2025-11-09T21:00:00,VABB 092100Z 01018KT 9999 NIL ////// Q1013,9999,NIL,10,18,0,0,17.3,7.6,1006,METAR_AUTO,False
VABB,2025-11-10T00:00:00,VABB 100000Z 34019KT 9999 HZ ////// Q1013,9999,HZ,340,19,0,0,23.7,10.2,1014,,True
VABB,2025-11-10T03:00:00,VABB 100300Z 03009KT 3000 NIL ////// Q1013,3000,NIL,30,9,0,0,10.0,13.0,1019,,True
VABB,2025-11-10T06:00:00,VABB 100600Z 30015KT 9999 NIL ////// Q1013,9999,NIL,300,15,0,0,15.5,11.8,1020,METAR_AUTO,False
VABB,2025-11-10T09:00:00,VABB 100900Z 24004KT 9999 NIL ////// Q1013,9999,NIL,240,4,0,0,17.5,18.2,1011,METAR_AUTO,False
VABB,2025-11-10T12:00:00,VABB 101200Z 15018KT 9999 NIL ////// Q1013,9999,NIL,150,18,0,0,8.5,5.9,1015,METAR_AUTO,False
VABB,2025-11-10T15:00:00,VABB 101500Z 30008KT 6000 NIL ////// Q1013,6000,NIL,300,8,0,0,22.8,8.9,1021,METAR_AUTO,False
VABB,2025-11-10T18:00:00,VABB 101800Z 18014KT 9999 NIL ////// Q1013,9999,NIL,180,14,0,0,26.6,5.4,1010,METAR_AUTO,False
VABB,2025-11-10T21:00:00,VABB 102100Z 11007KT 9999 NIL ////// Q1013,9999,NIL,110,7,0,0,19.0,12.2,1020,METAR_AUTO,False
VABB,2025-11-11T00:00:00,VABB 110000Z 18006KT 6000 NIL ////// Q1013,6000,NIL,180,6,0,0,12.5,7.5,1011,METAR_AUTO,False
VABB,2025-11-11T03:00:00,VABB 110300Z 03003KT 3000 NIL ////// Q1013,3000,NIL,30,3,0,0,23.3,12.8,1009,METAR_AUTO,False
VABB,2025-11-11T06:00:00,VABB 110600Z 14004KT 9999 NIL ////// Q1013,9999,NIL,140,4,0,0,20.2,15.4,1012,METAR_AUTO,False
VABB,2025-11-11T09:00:00,VABB 110900Z 19013KT 6000 NIL ////// Q1013,6000,NIL,190,13,0,0,13.6,17.5,1017,METAR_AUTO,False
VABB,2025-11-11T12:00:00,VABB 111200Z 23020KT 6000 NIL ////// Q1013,6000,NIL,230,20,0,0,18.8,14.2,1011,METAR_AUTO,False
VABB,2025-11-11T15:00:00,VABB 111500Z 35016KT 3000 HZ ////// Q1013,3000,HZ,350,16,0,0,13.4,13.0,1020,,True
VABB,2025-11-11T18:00:00,VABB 111800Z 13018KT 9999 NIL ////// Q1013,9999,NIL,130,18,0,0,27.4,8.2,1011,METAR_AUTO,False
VABB,2025-11-11T21:00:00,VABB 112100Z 32019KT 3000 NIL ////// Q1013,3000,NIL,320,19,0,0,27.9,17.6,1006,METAR_AUTO,False
VABB,2025-11-12T00:00:00,VABB 120000Z 32006KT 9999 NIL ////// Q1013,9999,NIL,320,6,0,0,25.8,7.0,1017,METAR_AUTO,False
VABB,2025-11-12T03:00:00,VABB 120300Z 31019KT 9999 NIL ////// Q1013,9999,NIL,310,19,0,0,20.7,14.2,1007,METAR_AUTO,False
VABB,2025-11-12T06:00:00,VABB 120600Z 21002KT 6000 NIL ////// Q1013,6000,NIL,210,2,0,0,13.6,17.6,1008,METAR_AUTO,False
VABB,2025-11-12T09:00:00,VABB 120900Z 17009KT 9999 NIL ////// Q1013,9999,NIL,170,9,0,0,24.9,14.9,1016,METAR_AUTO,False
VABB,2025-11-12T12:00:00,VABB 121200Z 25014KT 9999 HZ ////// Q1013,9999,HZ,250,14,0,0,10.1,18.3,1022,METAR_AUTO,False
VABB,2025-11-12T15:00:00,VABB 121500Z 25007KT 9999 NIL ////// Q1013,9999,NIL,250,7,0,0,27.3,9.9,1006,METAR_AUTO,False
VABB,2025-11-12T18:00:00,VABB 121800Z 06018KT 9999 NIL ////// Q1013,9999,NIL,60,18,0,0,9.5,16.9,1020,,True
VABB,2025-11-12T21:00:00,VABB 122100Z 33007KT 3000 NIL ////// Q1013,3000,NIL,330,7,0,0,18.8,11.7,1006,,True
VABB,2025-11-13T00:00:00,VABB 130000Z 23012KT 9999 NIL ////// Q1013,9999,NIL,230,12,0,0,17.7,5.3,1009,METAR_AUTO,False
VABB,2025-11-13T03:00:00,VABB 130300Z 28016KT 9999 HZ ////// Q1013,9999,HZ,280,16,0,0,15.0,15.5,1025,METAR_AUTO,False
VABB,2025-11-13T06:00:00,VABB 130600Z 03019KT 9999 NIL ////// Q1013,9999,NIL,30,19,0,0,11.7,19.9,1008,METAR_AUTO,False
VABB,2025-11-13T09:00:00,VABB 130900Z 24011KT 3000 HZ ////// Q1013,3000,HZ,240,11,0,0,26.9,17.1,1015,METAR_AUTO,False
VABB,2025-11-13T12:00:00,VABB 131200Z 18019KT 9999 NIL ////// Q1013,9999,NIL,180,19,0,0,25.9,12.7,1019,METAR_AUTO,False
VABB,2025-11-13T15:00:00,VABB 131500Z 15002KT 3000 HZ ////// Q1013,3000,HZ,150,2,0,0,11.4,6.1,1007,METAR_AUTO,False
VABB,2025-11-13T18:00:00,VABB 131800Z 21018KT 9999 NIL ////// Q1013,9999,NIL,210,18,0,0,16.6,18.3,1022,METAR_AUTO,False
VABB,2025-11-13T21:00:00,VABB 132100Z 31017KT 9999 HZ ////// Q1013,9999,HZ,310,17,0,0,21.6,18.8,1007,METAR_AUTO,False
VABB,2025-11-14T00:00:00,VABB 140000Z 29015KT 9999 NIL ////// Q1013,9999,NIL,290,15,0,0,24.7,5.0,1006,METAR_AUTO,False
VABB,2025-11-14T03:00:00,VABB 140300Z 18014KT 9999 HZ ////// Q1013,9999,HZ,180,14,0,0,19.2,9.1,1021,METAR_AUTO,False
VABB,2025-11-14T06:00:00,VABB 140600Z 28018KT 6000 HZ ////// Q1013,6000,HZ,280,18,0,0,8.0,8.5,1007,METAR_AUTO,False
VABB,2025-11-14T09:00:00,VABB 140900Z 10014KT 9999 HZ ////// Q1013,9999,HZ,100,14,0,0,20.7,7.0,1024,METAR_AUTO,False
VABB,2025-11-14T12:00:00,VABB 141200Z 32015KT 9999 HZ ////// Q1013,9999,HZ,320,15,0,0,16.3,9.2,1023,METAR_AUTO,False
VABB,2025-11-14T15:00:00,VABB 141500Z 23016KT 6000 NIL ////// Q1013,6000,NIL,230,16,0,0,27.1,16.9,1019,METAR_AUTO,False
VABB,2025-11-14T18:00:00,VABB 141800Z 09010KT 9999 HZ ////// Q1013,9999,HZ,90,10,0,0,11.6,12.1,1005,,True
VABB,2025-11-14T21:00:00,VABB 142100Z 17017KT 9999 NIL ////// Q1013,9999,NIL,170,17,0,0,20.7,9.2,1014,METAR_AUTO,False
VABB,2025-11-15T00:00:00,VABB 150000Z 18013KT 9999 NIL ////// Q1013,9999,NIL,180,13,0,0,27.2,7.5,1023,,True
VABB,2025-11-15T03:00:00,VABB 150300Z 11002KT 9999 NIL ////// Q1013,9999,NIL,110,2,0,0,21.8,9.0,1006,METAR_AUTO,False
VABB,2025-11-15T06:00:00,VABB 150600Z 34008KT 6000 NIL ////// Q1013,6000,NIL,340,8,0,0,16.2,6.2,1025,METAR_AUTO,False
VABB,2025-11-15T09:00:00,VABB 150900Z 09008KT 3000 NIL ////// Q1013,3000,NIL,90,8,0,0,9.6,19.5,1014,METAR_AUTO,False
VABB,2025-11-15T12:00:00,VABB 151200Z 19004KT 9999 NIL ////// Q1013,9999,NIL,190,4,0,0,19.6,9.1,1005,METAR_AUTO,False
VABB,2025-11-15T15:00:00,VABB 151500Z 22012KT 9999 NIL ////// Q1013,9999,NIL,220,12,0,0,14.1,11.6,1018,METAR_AUTO,False
VABB,2025-11-15T18:00:00,VABB 151800Z 34014KT 6000 NIL ////// Q1013,6000,NIL,340,14,0,0,12.0,17.9,1021,METAR_AUTO,False
VABB,2025-11-15T21:00:00,VABB 152100Z 01012KT 6000 NIL ////// Q1013,6000,NIL,10,12,0,0,22.6,18.7,1020,METAR_AUTO,False
VABB,2025-11-16T00:00:00,VABB 160000Z 16010KT 9999 NIL ////// Q1013,9999,NIL,160,10,0,0,13.7,15.4,1021,METAR_AUTO,False
VABB,2025-11-16T03:00:00,VABB 160300Z 17020KT 6000 NIL ////// Q1013,6000,NIL,170,20,0,0,23.3,8.8,1025,METAR_AUTO,False
VABB,2025-11-16T06:00:00,VABB 160600Z 15002KT 9999 NIL ////// Q1013,9999,NIL,150,2,0,0,25.8,16.1,1011,METAR_AUTO,False
VABB,2025-11-16T09:00:00,VABB 160900Z 28006KT 6000 NIL ////// Q1013,6000,NIL,280,6,0,0,12.0,6.4,1008,METAR_AUTO,False
VABB,2025-11-16T12:00:00,VABB 161200Z 29013KT 6000 NIL ////// Q1013,6000,NIL,290,13,0,0,13.4,11.1,1009,METAR_AUTO,False
VABB,2025-11-16T15:00:00,VABB 161500Z 03014KT 3000 HZ ////// Q1013,3000,HZ,30,14,0,0,10.6,13.3,1019,METAR_AUTO,False
VABB,2025-11-16T18:00:00,VABB 161800Z 33015KT 9999 NIL ////// Q1013,9999,NIL,330,15,0,0,8.3,7.0,1009,METAR_AUTO,False
VABB,2025-11-16T21:00:00,VABB 162100Z 05011KT 6000 NIL ////// Q1013,6000,NIL,50,11,0,0,28.0,19.7,1020,METAR_AUTO,False
VABB,2025-11-17T00:00:00,VABB 170000Z 29020KT 9999 NIL ////// Q1013,9999,NIL,290,20,0,0,10.9,7.8,1008,METAR_AUTO,False
VABB,2025-11-17T03:00:00,VABB 170300Z 09011KT 9999 NIL ////// Q1013,9999,NIL,90,11,0,0,21.7,13.6,1017,,True
VABB,2025-11-17T06:00:00,VABB 170600Z 16007KT 6000 HZ ////// Q1013,6000,HZ,160,7,0,0,15.0,15.8,1023,METAR_AUTO,False
VABB,2025-11-17T09:00:00,VABB 170900Z 29010KT 9999 NIL ////// Q1013,9999,NIL,290,10,0,0,13.8,15.7,1013,METAR_AUTO,False
VABB,2025-11-17T12:00:00,VABB 171200Z 16005KT 9999 NIL ////// Q1013,9999,NIL,160,5,0,0,11.3,6.6,1012,METAR_AUTO,False
VABB,2025-11-17T15:00:00,VABB 171500Z 00017KT 6000 NIL ////// Q1013,6000,NIL,0,17,0,0,15.2,13.1,1006,METAR_AUTO,False
VABB,2025-11-17T18:00:00,VABB 171800Z 31012KT 9999 NIL ////// Q1013,9999,NIL,310,12,0,0,21.7,11.0,1018,METAR_AUTO,False
VABB,2025-11-17T21:00:00,VABB 172100Z 21011KT 9999 HZ ////// Q1013,9999,HZ,210,11,0,0,20.1,12.5,1014,METAR_AUTO,False
VABB,2025-11-18T00:00:00,VABB 180000Z 23017KT 9999 NIL ////// Q1013,9999,NIL,230,17,0,0,26.3,16.8,1007,METAR_AUTO,False
VABB,2025-11-18T03:00:00,VABB 180300Z 04014KT 9999 NIL ////// Q1013,9999,NIL,40,14,0,0,19.9,5.6,1024,METAR_AUTO,False
VABB,2025-11-18T06:00:00,VABB 180600Z 20017KT 9999 NIL ////// Q1013,9999,NIL,200,17,0,0,16.1,10.0,1021,METAR_AUTO,False
VABB,2025-11-18T09:00:00,VABB 180900Z 03008KT 9999 NIL ////// Q1013,9999,NIL,30,8,0,0,24.3,18.9,1008,METAR_AUTO,False
VABB,2025-11-18T12:00:00,VABB 181200Z 28004KT 6000 HZ ////// Q1013,6000,HZ,280,4,0,0,14.8,13.3,1021,METAR_AUTO,False
VABB,2025-11-18T15:00:00,VABB 181500Z 33007KT 9999 NIL ////// Q1013,9999,NIL,330,7,0,0,19.4,16.5,1020,METAR_AUTO,False
VABB,2025-11-18T18:00:00,VABB 181800Z 34004KT 6000 NIL ////// Q1013,6000,NIL,340,4,0,0,16.6,5.9,1014,METAR_AUTO,False
VABB,2025-11-18T21:00:00,VABB 182100Z 08005KT 9999 HZ ////// Q1013,9999,HZ,80,5,0,0,21.4,18.5,1013,METAR_AUTO,False
VABB,2025-11-19T00:00:00,VABB 190000Z 03015KT 9999 NIL ////// Q1013,9999,NIL,30,15,0,0,18.3,7.2,1009,,True
VABB,2025-11-19T03:00:00,VABB 190300Z 32015KT 9999 NIL ////// Q1013,9999,NIL,320,15,0,0,23.3,16.4,1010,METAR_AUTO,False
VABB,2025-11-19T06:00:00,VABB 190600Z 13019KT 9999 NIL ////// Q1013,9999,NIL,130,19,0,0,18.6,9.1,1005,METAR_AUTO,False
VABB,2025-11-19T09:00:00,VABB 190900Z 11007KT 9999 NIL ////// Q1013,9999,NIL,110,7,0,0,21.3,18.6,1010,METAR_AUTO,False
VABB,2025-11-19T12:00:00,VABB 191200Z 11012KT 9999 NIL ////// Q1013,9999,NIL,110,12,0,0,12.0,16.6,1023,,True
VABB,2025-11-19T15:00:00,VABB 191500Z 10018KT 9999 NIL ////// Q1013,9999,NIL,100,18,0,0,9.8,10.4,1006,,True
VABB,2025-11-19T18:00:00,VABB 191800Z 15005KT 6000 NIL ////// Q1013,6000,NIL,150,5,0,0,16.2,7.6,1025,METAR_AUTO,False
VABB,2025-11-19T21:00:00,VABB 192100Z 17016KT 9999 NIL ////// Q1013,9999,NIL,170,16,0,0,15.7,13.5,1013,METAR_AUTO,False
VABB,2025-11-20T00:00:00,VABB 200000Z 06009KT 9999 HZ ////// Q1013,9999,HZ,60,9,0,0,9.9,7.3,1016,,True
VABB,2025-11-20T03:00:00,VABB 200300Z 31002KT 9999 NIL ////// Q1013,9999,NIL,310,2,0,0,19.3,12.5,1016,METAR_AUTO,False
VABB,2025-11-20T06:00:00,VABB 200600Z 04002KT 9999 HZ ////// Q1013,9999,HZ,40,2,0,0,19.6,5.6,1014,METAR_AUTO,False
VABB,2025-11-20T09:00:00,VABB 200900Z 25011KT 9999 HZ ////// Q1013,9999,HZ,250,11,0,0,15.4,8.1,1025,,True
VABB,2025-11-20T12:00:00,VABB 201200Z 33009KT 3000 NIL ////// Q1013,3000,NIL,330,9,0,0,17.3,17.7,1010,METAR_AUTO,False
VABB,2025-11-20T15:00:00,VABB 201500Z 32008KT 3000 NIL ////// Q1013,3000,NIL,320,8,0,0,14.7,8.1,1014,METAR_AUTO,False
VABB,2025-11-20T18:00:00,VABB 201800Z 10016KT 3000 HZ ////// Q1013,3000,HZ,100,16,0,0,10.8,5.1,1015,METAR_AUTO,False
VABB,2025-11-20T21:00:00,VABB 202100Z 16014KT 9999 NIL ////// Q1013,9999,NIL,160,14,0,0,17.5,12.3,1019,METAR_AUTO,False
VABB,2025-11-21T00:00:00,VABB 210000Z 15002KT 9999 NIL ////// Q1013,9999,NIL,150,2,0,0,22.7,18.7,1025,METAR_AUTO,False
VABB,2025-11-21T03:00:00,VABB 210300Z 28010KT 3000 NIL ////// Q1013,3000,NIL,280,10,0,0,25.0,15.2,1006,METAR_AUTO,False
VABB,2025-11-21T06:00:00,VABB 210600Z 13017KT 9999 NIL ////// Q1013,9999,NIL,130,17,0,0,16.6,13.4,1011,METAR_AUTO,False
VABB,2025-11-21T09:00:00,VABB 210900Z 04005KT 9999 NIL ////// Q1013,9999,NIL,40,5,0,0,9.6,7.3,1015,METAR_AUTO,False
VABB,2025-11-21T12:00:00,VABB 211200Z 14011KT 6000 NIL ////// Q1013,6000,NIL,140,11,0,0,19.8,9.9,1024,,True
VABB,2025-11-21T15:00:00,VABB 211500Z 02018KT 9999 NIL ////// Q1013,9999,NIL,20,18,0,0,25.7,10.9,1025,METAR_AUTO,False
VABB,2025-11-21T18:00:00,VABB 211800Z 17011KT 9999 NIL ////// Q1013,9999,NIL,170,11,0,0,8.1,16.2,1021,METAR_AUTO,False
VABB,2025-11-21T21:00:00,VABB 212100Z 23012KT 9999 HZ ////// Q1013,9999,HZ,230,12,0,0,19.8,15.2,1008,,True
VABB,2025-11-22T00:00:00,VABB 220000Z 07020KT 3000 NIL ////// Q1013,3000,NIL,70,20,0,0,19.8,12.3,1025,METAR_AUTO,False
VABB,2025-11-22T03:00:00,VABB 220300Z 24009KT 9999 NIL ////// Q1013,9999,NIL,240,9,0,0,19.2,19.6,1009,METAR_AUTO,False
VABB,2025-11-22T06:00:00,VABB 220600Z 32017KT 9999 NIL ////// Q1013,9999,NIL,320,17,0,0,24.8,12.3,1010,METAR_AUTO,False
