flt_no,src,dst,sched_time,actual_time,status_cd,delay_mins,ac_reg,sector,ops_month,data_ver
6E3651,MAA,VNS,01/10/2025 21:00,N/A,CXL,,VT-B002,MAA-VNS,OCT-2025,LEGACY_v1
6E8136,IXB,GOI,01/10/2025 06:30,01/10/2025 06:30,OK,0,VT-D025,IXB-GOI,OCT-2025,LEGACY_v1
6E1833,GOI,BLR,01/10/2025 22:00,01/10/2025 22:00,OK,0,VT-A031,GOI-BLR,OCT-2025,LEGACY_v1
6E7452,HYD,ATQ,01/10/2025 18:45,01/10/2025 18:45,OK,0,VT-D018,HYD-ATQ,OCT-2025,LEGACY_v1
6E4697,BOM,DEL,01/10/2025 03:00,01/10/2025 03:00,OK,0,VT-A058,BOM-DEL,OCT-2025,LEGACY_v1
6E4087,DEL,HYD,01/10/2025 15:15,01/10/2025 15:15,OK,0,VT-E027,DEL-HYD,OCT-2025,LEGACY_v1
6E5610,IXC,VNS,01/10/2025 18:15,01/10/2025 18:15,OK,0,VT-B060,IXC-VNS,OCT-2025,LEGACY_v1
6E5248,MAA,GOI,01/10/2025 12:30,01/10/2025 12:30,OK,0,VT-A046,MAA-GOI,OCT-2025,LEGACY_v1
6E9658,PNQ,GAU,01/10/2025 02:45,01/10/2025 02:45,OK,0,VT-D044,PNQ-GAU,OCT-2025,LEGACY_v1
6E5181,GOI,BOM,01/10/2025 17:00,01/10/2025 17:00,OK,0,VT-B015,GOI-BOM,OCT-2025,LEGACY_v1
6E3335,COK,GOI,01/10/2025 07:30,N/A,CXL,,VT-D036,COK-GOI,OCT-2025,LEGACY_v1
6E861,CCU,AMD,01/10/2025 03:45,01/10/2025 05:07,DLY,82,VT-A060,CCU-AMD,OCT-2025,LEGACY_v1
6E3432,BOM,IXC,01/10/2025 09:00,01/10/2025 09:15,DLY,15,VT-B047,BOM-IXC,OCT-2025,LEGACY_v1
6E8836,VNS,SXR,01/10/2025 06:45,01/10/2025 06:45,OK,0,VT-C056,VNS-SXR,OCT-2025,LEGACY_v1
6E3890,GAU,CCU,01/10/2025 11:45,01/10/2025 11:45,OK,0,VT-B016,GAU-CCU,OCT-2025,LEGACY_v1
6E5528,MAA,IXC,01/10/2025 21:45,01/10/2025 21:45,OK,0,VT-A031,MAA-IXC,OCT-2025,LEGACY_v1
6E2017,GAU,PAT,01/10/2025 03:15,01/10/2025 03:15,OK,0,VT-B017,GAU-PAT,OCT-2025,LEGACY_v1
6E3542,MAA,LKO,01/10/2025 05:45,01/10/2025 05:45,OK,0,VT-E051,MAA-LKO,OCT-2025,LEGACY_v1
6E9424,CCU,PAT,01/10/2025 15:30,01/10/2025 15:30,OK,0,VT-B029,CCU-PAT,OCT-2025,LEGACY_v1
6E7807,COK,ATQ,01/10/2025 01:15,01/10/2025 03:40,DLY,145,VT-E026,COK-ATQ,OCT-2025,LEGACY_v1
6E6201,ATQ,DEL,01/10/2025 11:45,01/10/2025 11:45,OK,0,VT-C058,ATQ-DEL,OCT-2025,LEGACY_v1
6E9600,DEL,GAU,01/10/2025 13:45,N/A,DIV,,VT-A022,DEL-GAU,OCT-2025,LEGACY_v1
6E4381,IXB,GAU,01/10/2025 00:15,01/10/2025 00:15,OK,0,VT-A037,IXB-GAU,OCT-2025,LEGACY_v1
6E956,SXR,PAT,01/10/2025 14:45,01/10/2025 14:45,OK,0,VT-B007,SXR-PAT,OCT-2025,LEGACY_v1
6E8490,BOM,LKO,01/10/2025 22:00,01/10/2025 22:00,OK,0,VT-A034,BOM-LKO,OCT-2025,LEGACY_v1
6E476,IXC,GOI,01/10/2025 02:45,01/10/2025 02:45,OK,0,VT-E060,IXC-GOI,OCT-2025,LEGACY_v1
6E8095,BOM,GAU,01/10/2025 08:45,01/10/2025 08:45,OK,0,VT-D014,BOM-GAU,OCT-2025,LEGACY_v1
6E3314,SXR,VNS,01/10/2025 08:15,01/10/2025 08:15,OK,0,VT-E035,SXR-VNS,OCT-2025,LEGACY_v1
6E6323,SXR,COK,01/10/2025 06:15,01/10/2025 06:15,OK,0,VT-C002,SXR-COK,OCT-2025,LEGACY_v1
6E6819,AMD,COK,01/10/2025 22:45,02/10/2025 00:06,DLY,81,VT-C039,AMD-COK,OCT-2025,LEGACY_v1
6E4025,DEL,IXB,01/10/2025 06:30,01/10/2025 07:46,DLY,76,VT-C052,DEL-IXB,OCT-2025,LEGACY_v1
6E5199,LKO,HYD,01/10/2025 04:45,N/A,DIV,,VT-B009,LKO-HYD,OCT-2025,LEGACY_v1
6E1770,MAA,BOM,01/10/2025 23:00,N/A,DIV,,VT-A038,MAA-BOM,OCT-2025,LEGACY_v1
6E3120,LKO,BHO,02/10/2025 00:15,02/10/2025 00:15,OK,0,VT-A016,LKO-BHO,OCT-2025,LEGACY_v1
6E9718,IXC,DEL,02/10/2025 01:15,02/10/2025 02:03,DLY,48,VT-B002,IXC-DEL,OCT-2025,LEGACY_v1
6E8981,HYD,GAU,02/10/2025 16:00,02/10/2025 16:00,OK,0,VT-C046,HYD-GAU,OCT-2025,LEGACY_v1
6E7820,IXB,GAU,02/10/2025 19:00,02/10/2025 19:52,DLY,52,VT-E016,IXB-GAU,OCT-2025,LEGACY_v1
6E149,BHO,ATQ,02/10/2025 02:15,02/10/2025 02:15,OK,0,VT-B041,BHO-ATQ,OCT-2025,LEGACY_v1
6E9054,BOM,PNQ,02/10/2025 22:15,02/10/2025 22:15,OK,0,VT-D052,BOM-PNQ,OCT-2025,LEGACY_v1
6E8811,JAI,DEL,02/10/2025 22:15,02/10/2025 22:15,OK,0,VT-B002,JAI-DEL,OCT-2025,LEGACY_v1
6E889,PNQ,ATQ,02/10/2025 12:30,N/A,CXL,,VT-C054,PNQ-ATQ,OCT-2025,LEGACY_v1
6E1970,COK,BOM,02/10/2025 10:30,02/10/2025 11:42,DLY,72,VT-E058,COK-BOM,OCT-2025,LEGACY_v1
6E9035,VNS,BLR,02/10/2025 00:00,02/10/2025 00:39,DLY,39,VT-E028,VNS-BLR,OCT-2025,LEGACY_v1
6E3072,LKO,GAU,02/10/2025 18:15,02/10/2025 18:15,OK,0,VT-C048,LKO-GAU,OCT-2025,LEGACY_v1
6E2236,SXR,MAA,02/10/2025 19:45,02/10/2025 19:45,OK,0,VT-B019,SXR-MAA,OCT-2025,LEGACY_v1
6E9561,AMD,HYD,02/10/2025 18:45,02/10/2025 20:57,DLY,132,VT-B002,AMD-HYD,OCT-2025,LEGACY_v1
6E2021,BOM,BLR,02/10/2025 05:45,N/A,CXL,,VT-D055,BOM-BLR,OCT-2025,LEGACY_v1
6E3934,ATQ,PAT,02/10/2025 07:45,02/10/2025 07:45,OK,0,VT-A042,ATQ-PAT,OCT-2025,LEGACY_v1
6E2465,IXB,BLR,02/10/2025 03:30,N/A,CXL,,VT-B054,IXB-BLR,OCT-2025,LEGACY_v1
6E2030,IXC,HYD,02/10/2025 12:45,02/10/2025 12:45,OK,0,VT-E002,IXC-HYD,OCT-2025,LEGACY_v1
6E2518,ATQ,AMD,02/10/2025 11:30,02/10/2025 11:30,OK,0,VT-A041,ATQ-AMD,OCT-2025,LEGACY_v1
6E9593,HYD,DEL,02/10/2025 05:30,02/10/2025 05:30,OK,0,VT-B050,HYD-DEL,OCT-2025,LEGACY_v1
6E9264,BOM,AMD,02/10/2025 06:15,N/A,DIV,,VT-C020,BOM-AMD,OCT-2025,LEGACY_v1
6E7032,LKO,AMD,02/10/2025 17:15,N/A,CXL,,VT-E030,LKO-AMD,OCT-2025,LEGACY_v1
6E865,GOI,COK,02/10/2025 08:30,02/10/2025 08:30,OK,0,VT-D060,GOI-COK,OCT-2025,LEGACY_v1
6E4541,GOI,ATQ,02/10/2025 00:45,N/A,CXL,,VT-D051,GOI-ATQ,OCT-2025,LEGACY_v1
6E8167,HYD,AMD,02/10/2025 12:45,02/10/2025 12:45,OK,0,VT-D053,HYD-AMD,OCT-2025,LEGACY_v1
6E5276,SXR,BHO,02/10/2025 01:15,02/10/2025 01:15,OK,0,VT-E006,SXR-BHO,OCT-2025,LEGACY_v1
6E1907,BOM,HYD,02/10/2025 22:15,02/10/2025 22:15,OK,0,VT-E013,BOM-HYD,OCT-2025,LEGACY_v1
6E8788,JAI,IXC,02/10/2025 04:00,02/10/2025 04:00,OK,0,VT-D040,JAI-IXC,OCT-2025,LEGACY_v1
6E1657,COK,IXB,02/10/2025 12:00,N/A,DIV,,VT-C043,COK-IXB,OCT-2025,LEGACY_v1
6E7426,BOM,LKO,02/10/2025 03:00,02/10/2025 03:00,OK,0,VT-E045,BOM-LKO,OCT-2025,LEGACY_v1
6E4222,PAT,IXC,02/10/2025 02:45,02/10/2025 05:45,DLY,180,VT-B040,PAT-IXC,OCT-2025,LEGACY_v1
6E7355,COK,DEL,02/10/2025 06:15,02/10/2025 06:15,OK,0,VT-A014,COK-DEL,OCT-2025,LEGACY_v1
6E2541,AMD,PAT,02/10/2025 06:45,02/10/2025 06:45,OK,0,VT-A052,AMD-PAT,OCT-2025,LEGACY_v1
6E4220,JAI,IXC,02/10/2025 16:45,02/10/2025 16:45,OK,0,VT-E036,JAI-IXC,OCT-2025,LEGACY_v1
6E7782,GAU,AMD,02/10/2025 23:30,N/A,CXL,,VT-E020,GAU-AMD,OCT-2025,LEGACY_v1
6E3147,IXC,PAT,02/10/2025 13:30,02/10/2025 15:13,DLY,103,VT-B032,IXC-PAT,OCT-2025,LEGACY_v1
6E8321,JAI,VNS,02/10/2025 05:00,02/10/2025 06:47,DLY,107,VT-A003,JAI-VNS,OCT-2025,LEGACY_v1
6E2445,JAI,SXR,02/10/2025 08:15,02/10/2025 09:31,DLY,76,VT-B025,JAI-SXR,OCT-2025,LEGACY_v1
6E4816,MAA,ATQ,02/10/2025 10:15,02/10/2025 10:49,DLY,34,VT-A020,MAA-ATQ,OCT-2025,LEGACY_v1
6E7914,MAA,AMD,02/10/2025 20:00,02/10/2025 20:00,OK,0,VT-E023,MAA-AMD,OCT-2025,LEGACY_v1
6E8313,GOI,BOM,02/10/2025 10:15,02/10/2025 10:15,OK,0,VT-B004,GOI-BOM,OCT-2025,LEGACY_v1
6E5363,COK,IXC,02/10/2025 11:15,02/10/2025 11:35,DLY,20,VT-A051,COK-IXC,OCT-2025,LEGACY_v1
6E7864,ATQ,BHO,02/10/2025 09:45,02/10/2025 09:45,OK,0,VT-E005,ATQ-BHO,OCT-2025,LEGACY_v1
6E2370,GAU,MAA,02/10/2025 08:30,02/10/2025 08:30,OK,0,VT-A041,GAU-MAA,OCT-2025,LEGACY_v1
6E4088,BLR,COK,02/10/2025 15:45,02/10/2025 15:45,OK,0,VT-B023,BLR-COK,OCT-2025,LEGACY_v1
6E9732,IXC,SXR,02/10/2025 09:00,02/10/2025 09:00,OK,0,VT-E038,IXC-SXR,OCT-2025,LEGACY_v1
6E4933,PAT,PNQ,02/10/2025 17:15,02/10/2025 17:15,OK,0,VT-C059,PAT-PNQ,OCT-2025,LEGACY_v1
6E3030,PNQ,DEL,02/10/2025 19:45,N/A,CXL,,VT-B010,PNQ-DEL,OCT-2025,LEGACY_v1
6E9438,CCU,DEL,02/10/2025 21:00,02/10/2025 21:56,DLY,56,VT-D006,CCU-DEL,OCT-2025,LEGACY_v1
6E1913,PNQ,JAI,03/10/2025 06:15,03/10/2025 06:15,OK,0,VT-E022,PNQ-JAI,OCT-2025,LEGACY_v1
6E684,GOI,DEL,03/10/2025 13:15,03/10/2025 13:15,OK,0,VT-D025,GOI-DEL,OCT-2025,LEGACY_v1
6E1528,GAU,BLR,03/10/2025 05:00,03/10/2025 05:00,OK,0,VT-A058,GAU-BLR,OCT-2025,LEGACY_v1
6E251,GAU,AMD,03/10/2025 06:30,03/10/2025 06:30,OK,0,VT-E019,GAU-AMD,OCT-2025,LEGACY_v1
6E1002,CCU,BHO,03/10/2025 17:15,N/A,CXL,,VT-C050,CCU-BHO,OCT-2025,LEGACY_v1
6E6763,ATQ,VNS,03/10/2025 17:00,03/10/2025 17:00,OK,0,VT-C019,ATQ-VNS,OCT-2025,LEGACY_v1
6E2467,BHO,PAT,03/10/2025 00:00,03/10/2025 02:31,DLY,151,VT-A013,BHO-PAT,OCT-2025,LEGACY_v1
6E5281,HYD,AMD,03/10/2025 15:45,03/10/2025 15:45,OK,0,VT-D042,HYD-AMD,OCT-2025,LEGACY_v1
6E9795,VNS,HYD,03/10/2025 14:45,03/10/2025 14:45,OK,0,VT-C009,VNS-HYD,OCT-2025,LEGACY_v1
6E9441,SXR,COK,03/10/2025 08:45,03/10/2025 08:45,OK,0,VT-E005,SXR-COK,OCT-2025,LEGACY_v1
6E1107,IXB,MAA,03/10/2025 16:30,03/10/2025 16:30,OK,0,VT-A002,IXB-MAA,OCT-2025,LEGACY_v1
6E7418,ATQ,SXR,03/10/2025 09:30,03/10/2025 10:00,DLY,30,VT-D001,ATQ-SXR,OCT-2025,LEGACY_v1
6E2600,BLR,MAA,03/10/2025 13:00,03/10/2025 15:46,DLY,166,VT-E021,BLR-MAA,OCT-2025,LEGACY_v1
6E6672,LKO,PNQ,03/10/2025 02:45,03/10/2025 02:45,OK,0,VT-D059,LKO-PNQ,OCT-2025,LEGACY_v1
6E1721,BHO,SXR,03/10/2025 11:45,03/10/2025 11:45,OK,0,VT-D036,BHO-SXR,OCT-2025,LEGACY_v1
6E368,BHO,SXR,03/10/2025 15:30,03/10/2025 15:30,OK,0,VT-B041,BHO-SXR,OCT-2025,LEGACY_v1
6E8375,IXB,BOM,03/10/2025 04:00,03/10/2025 04:00,OK,0,VT-B057,IXB-BOM,OCT-2025,LEGACY_v1
6E5454,IXC,BHO,03/10/2025 04:30,03/10/2025 04:30,OK,0,VT-C044,IXC-BHO,OCT-2025,LEGACY_v1
6E9480,BOM,IXB,03/10/2025 18:30,N/A,CXL,,VT-C001,BOM-IXB,OCT-2025,LEGACY_v1
6E2686,ATQ,DEL,03/10/2025 13:30,N/A,CXL,,VT-B021,ATQ-DEL,OCT-2025,LEGACY_v1
6E9851,ATQ,COK,03/10/2025 21:00,03/10/2025 21:00,OK,0,VT-C026,ATQ-COK,OCT-2025,LEGACY_v1
6E9786,BHO,IXC,03/10/2025 22:30,03/10/2025 22:30,OK,0,VT-C048,BHO-IXC,OCT-2025,LEGACY_v1
6E2218,BLR,VNS,03/10/2025 06:45,03/10/2025 06:45,OK,0,VT-B016,BLR-VNS,OCT-2025,LEGACY_v1
6E5271,VNS,BOM,03/10/2025 16:30,03/10/2025 17:44,DLY,74,VT-D051,VNS-BOM,OCT-2025,LEGACY_v1
6E4449,VNS,GAU,03/10/2025 20:30,03/10/2025 22:48,DLY,138,VT-B041,VNS-GAU,OCT-2025,LEGACY_v1
6E7824,LKO,GOI,03/10/2025 11:15,03/10/2025 11:15,OK,0,VT-D005,LKO-GOI,OCT-2025,LEGACY_v1
6E3305,AMD,JAI,03/10/2025 08:00,03/10/2025 09:50,DLY,110,VT-D023,AMD-JAI,OCT-2025,LEGACY_v1
6E8846,SXR,IXC,03/10/2025 22:45,04/10/2025 00:41,DLY,116,VT-B012,SXR-IXC,OCT-2025,LEGACY_v1
6E7794,GAU,PNQ,03/10/2025 01:30,N/A,DIV,,VT-C032,GAU-PNQ,OCT-2025,LEGACY_v1
6E1978,PAT,JAI,03/10/2025 18:15,03/10/2025 18:15,OK,0,VT-C052,PAT-JAI,OCT-2025,LEGACY_v1
6E4199,PNQ,JAI,03/10/2025 07:45,03/10/2025 09:11,DLY,86,VT-A051,PNQ-JAI,OCT-2025,LEGACY_v1
6E915,GAU,PNQ,03/10/2025 08:15,03/10/2025 08:15,OK,0,VT-A001,GAU-PNQ,OCT-2025,LEGACY_v1
6E7297,MAA,GOI,03/10/2025 02:45,03/10/2025 02:45,OK,0,VT-C022,MAA-GOI,OCT-2025,LEGACY_v1
6E8425,ATQ,IXB,03/10/2025 19:00,N/A,CXL,,VT-D060,ATQ-IXB,OCT-2025,LEGACY_v1
6E8777,CCU,IXB,03/10/2025 04:00,03/10/2025 04:00,OK,0,VT-D045,CCU-IXB,OCT-2025,LEGACY_v1
6E4660,HYD,LKO,03/10/2025 15:45,N/A,CXL,,VT-A017,HYD-LKO,OCT-2025,LEGACY_v1
6E1756,SXR,BOM,03/10/2025 21:45,03/10/2025 21:45,OK,0,VT-C005,SXR-BOM,OCT-2025,LEGACY_v1
6E5791,VNS,IXC,03/10/2025 06:45,03/10/2025 06:45,OK,0,VT-C011,VNS-IXC,OCT-2025,LEGACY_v1
6E2357,GAU,IXB,03/10/2025 12:00,N/A,DIV,,VT-D006,GAU-IXB,OCT-2025,LEGACY_v1
6E3966,BOM,CCU,03/10/2025 18:30,03/10/2025 18:30,OK,0,VT-C016,BOM-CCU,OCT-2025,LEGACY_v1
6E8075,JAI,PNQ,03/10/2025 14:45,03/10/2025 15:54,DLY,69,VT-E024,JAI-PNQ,OCT-2025,LEGACY_v1
6E9885,GAU,DEL,03/10/2025 14:15,03/10/2025 14:15,OK,0,VT-A046,GAU-DEL,OCT-2025,LEGACY_v1
6E195,BHO,SXR,03/10/2025 02:15,03/10/2025 05:13,DLY,178,VT-B026,BHO-SXR,OCT-2025,LEGACY_v1
6E1453,PAT,SXR,03/10/2025 20:30,03/10/2025 20:30,OK,0,VT-D009,PAT-SXR,OCT-2025,LEGACY_v1
6E5821,MAA,HYD,03/10/2025 18:15,03/10/2025 18:15,OK,0,VT-A045,MAA-HYD,OCT-2025,LEGACY_v1
6E8058,IXC,AMD,03/10/2025 11:00,03/10/2025 11:00,OK,0,VT-C025,IXC-AMD,OCT-2025,LEGACY_v1
6E6911,LKO,MAA,03/10/2025 12:00,03/10/2025 12:00,OK,0,VT-A037,LKO-MAA,OCT-2025,LEGACY_v1
6E3575,BHO,PNQ,03/10/2025 10:00,03/10/2025 10:00,OK,0,VT-E047,BHO-PNQ,OCT-2025,LEGACY_v1
6E6548,IXB,PNQ,04/10/2025 03:45,N/A,DIV,,VT-A045,IXB-PNQ,OCT-2025,LEGACY_v1
6E6864,CCU,AMD,04/10/2025 19:00,N/A,CXL,,VT-B008,CCU-AMD,OCT-2025,LEGACY_v1
6E5084,JAI,HYD,04/10/2025 02:30,04/10/2025 04:09,DLY,99,VT-C041,JAI-HYD,OCT-2025,LEGACY_v1
6E9552,BOM,MAA,04/10/2025 20:45,04/10/2025 20:45,OK,0,VT-A050,BOM-MAA,OCT-2025,LEGACY_v1
6E563,DEL,ATQ,04/10/2025 04:45,04/10/2025 07:42,DLY,177,VT-E056,DEL-ATQ,OCT-2025,LEGACY_v1
6E6911,BHO,VNS,04/10/2025 20:45,04/10/2025 20:45,OK,0,VT-A042,BHO-VNS,OCT-2025,LEGACY_v1
6E4280,BHO,ATQ,04/10/2025 01:45,04/10/2025 01:45,OK,0,VT-B020,BHO-ATQ,OCT-2025,LEGACY_v1
6E9709,BLR,PAT,04/10/2025 09:30,04/10/2025 11:33,DLY,123,VT-E031,BLR-PAT,OCT-2025,LEGACY_v1
6E2129,BLR,DEL,04/10/2025 13:30,04/10/2025 13:30,OK,0,VT-A001,BLR-DEL,OCT-2025,LEGACY_v1
6E1798,GAU,CCU,04/10/2025 17:00,04/10/2025 17:00,OK,0,VT-D014,GAU-CCU,OCT-2025,LEGACY_v1
6E1453,CCU,GAU,04/10/2025 02:00,N/A,DIV,,VT-A054,CCU-GAU,OCT-2025,LEGACY_v1
6E5468,LKO,BHO,04/10/2025 16:15,04/10/2025 16:15,OK,0,VT-B035,LKO-BHO,OCT-2025,LEGACY_v1
6E7559,ATQ,LKO,04/10/2025 14:45,N/A,CXL,,VT-C008,ATQ-LKO,OCT-2025,LEGACY_v1
6E147,HYD,GAU,04/10/2025 02:30,04/10/2025 02:30,OK,0,VT-E011,HYD-GAU,OCT-2025,LEGACY_v1
6E2485,DEL,PAT,04/10/2025 17:15,04/10/2025 17:15,OK,0,VT-D018,DEL-PAT,OCT-2025,LEGACY_v1
6E404,BHO,VNS,04/10/2025 23:45,04/10/2025 23:45,OK,0,VT-C053,BHO-VNS,OCT-2025,LEGACY_v1
6E4580,JAI,CCU,04/10/2025 17:00,04/10/2025 17:00,OK,0,VT-E041,JAI-CCU,OCT-2025,LEGACY_v1
6E2580,LKO,GAU,04/10/2025 11:30,04/10/2025 11:30,OK,0,VT-B015,LKO-GAU,OCT-2025,LEGACY_v1
6E2568,CCU,BHO,04/10/2025 23:30,05/10/2025 01:12,DLY,102,VT-E028,CCU-BHO,OCT-2025,LEGACY_v1
6E3730,ATQ,PNQ,04/10/2025 04:30,04/10/2025 04:30,OK,0,VT-E015,ATQ-PNQ,OCT-2025,LEGACY_v1
6E3094,GAU,BHO,04/10/2025 16:15,N/A,CXL,,VT-B024,GAU-BHO,OCT-2025,LEGACY_v1
6E2244,COK,VNS,04/10/2025 03:00,04/10/2025 03:00,OK,0,VT-B013,COK-VNS,OCT-2025,LEGACY_v1
6E9735,ATQ,BOM,04/10/2025 14:45,04/10/2025 14:45,OK,0,VT-A043,ATQ-BOM,OCT-2025,LEGACY_v1
6E2982,BLR,DEL,04/10/2025 08:15,04/10/2025 08:15,OK,0,VT-E055,BLR-DEL,OCT-2025,LEGACY_v1
6E728,PAT,IXC,04/10/2025 20:15,04/10/2025 20:15,OK,0,VT-E059,PAT-IXC,OCT-2025,LEGACY_v1
6E324,LKO,SXR,04/10/2025 15:15,04/10/2025 15:15,OK,0,VT-C044,LKO-SXR,OCT-2025,LEGACY_v1
6E7036,ATQ,COK,04/10/2025 19:45,04/10/2025 19:45,OK,0,VT-A049,ATQ-COK,OCT-2025,LEGACY_v1
6E3732,DEL,PNQ,04/10/2025 05:30,04/10/2025 05:30,OK,0,VT-A012,DEL-PNQ,OCT-2025,LEGACY_v1
6E5479,MAA,HYD,04/10/2025 05:00,04/10/2025 05:00,OK,0,VT-D022,MAA-HYD,OCT-2025,LEGACY_v1
6E7751,VNS,GAU,04/10/2025 02:45,04/10/2025 02:45,OK,0,VT-D032,VNS-GAU,OCT-2025,LEGACY_v1
6E4897,COK,PAT,04/10/2025 23:30,04/10/2025 23:30,OK,0,VT-C026,COK-PAT,OCT-2025,LEGACY_v1
6E4474,DEL,IXC,04/10/2025 15:15,04/10/2025 15:15,OK,0,VT-D025,DEL-IXC,OCT-2025,LEGACY_v1
6E6834,IXB,VNS,04/10/2025 09:45,04/10/2025 09:45,OK,0,VT-C054,IXB-VNS,OCT-2025,LEGACY_v1
6E9515,AMD,PAT,04/10/2025 04:15,04/10/2025 04:15,OK,0,VT-E026,AMD-PAT,OCT-2025,LEGACY_v1
6E8631,AMD,SXR,04/10/2025 22:15,04/10/2025 22:15,OK,0,VT-C051,AMD-SXR,OCT-2025,LEGACY_v1
6E3387,GOI,HYD,04/10/2025 20:00,04/10/2025 20:00,OK,0,VT-A013,GOI-HYD,OCT-2025,LEGACY_v1
6E1599,COK,IXB,04/10/2025 05:45,04/10/2025 05:45,OK,0,VT-E013,COK-IXB,OCT-2025,LEGACY_v1
6E5652,PNQ,BLR,04/10/2025 17:30,04/10/2025 17:30,OK,0,VT-E021,PNQ-BLR,OCT-2025,LEGACY_v1
6E9198,JAI,ATQ,04/10/2025 18:15,04/10/2025 19:28,DLY,73,VT-A057,JAI-ATQ,OCT-2025,LEGACY_v1
6E6093,CCU,PAT,04/10/2025 10:45,N/A,CXL,,VT-B050,CCU-PAT,OCT-2025,LEGACY_v1
6E342,HYD,BHO,04/10/2025 11:30,N/A,CXL,,VT-B013,HYD-BHO,OCT-2025,LEGACY_v1
6E7194,BHO,VNS,04/10/2025 05:00,04/10/2025 05:00,OK,0,VT-D033,BHO-VNS,OCT-2025,LEGACY_v1
6E3526,LKO,SXR,04/10/2025 08:00,04/10/2025 08:00,OK,0,VT-D045,LKO-SXR,OCT-2025,LEGACY_v1
6E2218,IXB,MAA,04/10/2025 20:30,04/10/2025 22:40,DLY,130,VT-D019,IXB-MAA,OCT-2025,LEGACY_v1
6E5999,VNS,AMD,04/10/2025 04:00,04/10/2025 04:00,OK,0,VT-E042,VNS-AMD,OCT-2025,LEGACY_v1
6E1721,VNS,LKO,04/10/2025 02:15,04/10/2025 03:56,DLY,101,VT-E058,VNS-LKO,OCT-2025,LEGACY_v1
6E7511,MAA,IXB,04/10/2025 19:00,04/10/2025 19:00,OK,0,VT-A035,MAA-IXB,OCT-2025,LEGACY_v1
6E9035,MAA,AMD,04/10/2025 11:45,04/10/2025 12:41,DLY,56,VT-D002,MAA-AMD,OCT-2025,LEGACY_v1
6E7230,JAI,LKO,05/10/2025 15:15,05/10/2025 15:15,OK,0,VT-D010,JAI-LKO,OCT-2025,LEGACY_v1
6E2999,ATQ,JAI,05/10/2025 16:45,05/10/2025 19:32,DLY,167,VT-D056,ATQ-JAI,OCT-2025,LEGACY_v1
6E2530,BOM,DEL,05/10/2025 06:15,05/10/2025 06:15,OK,0,VT-D001,BOM-DEL,OCT-2025,LEGACY_v1
6E6381,LKO,BOM,05/10/2025 13:45,05/10/2025 14:20,DLY,35,VT-E013,LKO-BOM,OCT-2025,LEGACY_v1
6E7284,IXB,HYD,05/10/2025 20:00,05/10/2025 20:00,OK,0,VT-E018,IXB-HYD,OCT-2025,LEGACY_v1
6E1015,AMD,GAU,05/10/2025 19:15,05/10/2025 19:15,OK,0,VT-B013,AMD-GAU,OCT-2025,LEGACY_v1
6E3629,JAI,DEL,05/10/2025 22:15,05/10/2025 22:15,OK,0,VT-E037,JAI-DEL,OCT-2025,LEGACY_v1
6E7164,BOM,HYD,05/10/2025 22:30,05/10/2025 22:30,OK,0,VT-B024,BOM-HYD,OCT-2025,LEGACY_v1
